section,key,value
corr,CYYC-CYVR,0.19
corr,CYYC-CYEG,0.48
corr,CYYC-CYWG,0.04
corr,CYYC-CYYZ,0.04
corr,CYYC-CYOW,0.04
corr,CYYC-CYUL,0.06
corr,CYYC-CYHZ,0.07
corr,CYVR-CYEG,0.21
corr,CYVR-CYWG,0.02
corr,CYVR-CYYZ,0.13
corr,CYVR-CYOW,0.07
corr,CYVR-CYUL,0.06
corr,CYVR-CYHZ,0.02
corr,CYEG-CYWG,0.02
corr,CYEG-CYYZ,0.06
corr,CYEG-CYOW,0.02
corr,CYEG-CYUL,0.04
corr,CYEG-CYHZ,0.01
corr,CYWG-CYYZ,0.03
corr,CYWG-CYOW,-0.0
corr,CYWG-CYUL,-0.03
corr,CYWG-CYHZ,0.04
corr,CYYZ-CYOW,0.51
corr,CYYZ-CYUL,0.38
corr,CYYZ-CYHZ,0.03
corr,CYOW-CYUL,0.75
corr,CYOW-CYHZ,0.08
corr,CYUL-CYHZ,0.15
corr,n_eff_eigen,6.0
spearman,rho_lat_vs_HG,0.48
spearman,p_two_sided,0.23
siteyears,CYYC_2020,8.7
siteyears,CYYC_2021,9.0
siteyears,CYYC_2022,11.1
siteyears,CYYC_2023,18.5
siteyears,CYYC_2024,14.8
siteyears,CYYC_2025,15.3
siteyears,CYVR_2020,7.6
siteyears,CYVR_2021,8.3
siteyears,CYVR_2022,5.1
siteyears,CYVR_2023,7.9
siteyears,CYVR_2024,7.3
siteyears,CYVR_2025,10.4
siteyears,CYEG_2020,5.3
siteyears,CYEG_2021,7.8
siteyears,CYEG_2022,8.2
siteyears,CYEG_2023,9.4
siteyears,CYEG_2024,7.4
siteyears,CYEG_2025,3.3
siteyears,CYWG_2020,14.6
siteyears,CYWG_2021,15.5
siteyears,CYWG_2022,13.2
siteyears,CYWG_2023,12.5
siteyears,CYWG_2024,10.2
siteyears,CYWG_2025,12.0
siteyears,CYYZ_2020,14.4
siteyears,CYYZ_2021,13.8
siteyears,CYYZ_2022,12.9
siteyears,CYYZ_2023,10.5
siteyears,CYYZ_2024,14.9
siteyears,CYYZ_2025,14.7
siteyears,CYOW_2020,11.0
siteyears,CYOW_2021,9.8
siteyears,CYOW_2022,11.1
siteyears,CYOW_2023,12.2
siteyears,CYOW_2024,9.4
siteyears,CYOW_2025,10.9
siteyears,CYUL_2020,16.6
siteyears,CYUL_2021,10.0
siteyears,CYUL_2022,11.8
siteyears,CYUL_2023,12.7
siteyears,CYUL_2024,12.6
siteyears,CYUL_2025,11.8
siteyears,CYHZ_2020,11.0
siteyears,CYHZ_2021,10.9
siteyears,CYHZ_2022,9.3
siteyears,CYHZ_2023,9.4
siteyears,CYHZ_2024,10.1
siteyears,CYHZ_2025,12.5
siteyears,n_nonpositive_of_48,0
siteyears,dod_slope_calgary,2.36
siteyears,dod_slope_edmonton,0.59
siteyears,dod_slope_toronto,-0.84
siteyears,dod_slope_montreal,-0.22
diurnal,CYYC_predawn_minus_aftmin_pp,16.4
diurnal,CYYC_max_dev_from_mean_pp,10.2
diurnal,CYBW_predawn_minus_aftmin_pp,4.5
diurnal,CYBW_max_dev_from_mean_pp,4.0
diurnal,CYEG_predawn_minus_aftmin_pp,10.2
diurnal,CYEG_max_dev_from_mean_pp,5.6
diurnal,CZVL_predawn_minus_aftmin_pp,-1.3
diurnal,CZVL_max_dev_from_mean_pp,5.2
