site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
calgary,metar_CYYC,0.5,16.0,13.1,18.9,1130,1129,42.9,26.9
calgary,metar_CYYC_SPRING,0.5,18.1,12.4,23.9,256,256,36.1,18.0
calgary,metar_CYYC_SUMMER,0.5,15.9,11.1,20.3,552,552,44.8,28.9
calgary,metar_CYYC_AUTUMN,0.5,14.8,9.3,20.6,320,320,45.4,30.6
calgary,metar_CYBW,0.5,-0.7,-3.8,2.4,1125,1128,49.1,49.8
calgary,goes_nearest,0.5,-5.8,-10.6,-1.4,615,712,,
calgary,goes_box3,0.5,-7.1,-11.9,-2.6,615,712,,
calgary,goes_box5,0.5,-6.4,-11.1,-1.8,615,712,,
calgary,goes_nearest_west,0.5,-1.6,-6.1,3.3,611,714,,
calgary,goes_nearest_west_GOES17,0.5,-1.1,-10.7,8.9,145,185,,
calgary,goes_nearest_west_GOES18,0.5,-1.7,-7.2,3.9,466,529,,
calgary,goes_nearest_SPRING,0.5,-1.8,-10.7,6.7,146,170,,
calgary,goes_nearest_west_SPRING,0.5,0.1,-8.9,9.3,144,170,,
calgary,goes_nearest_SUMMER,0.5,-8.3,-15.3,-1.6,266,355,,
calgary,goes_nearest_west_SUMMER,0.5,-2.9,-10.1,4.0,262,356,,
calgary,goes_nearest_AUTUMN,0.5,-6.5,-15.5,2.4,202,189,,
calgary,goes_nearest_west_AUTUMN,0.5,-2.4,-11.5,6.5,204,190,,
calgary,goes_nearest_CYBW,0.5,-5.9,-10.5,-1.2,615,712,,
calgary,human_minus_goes,0.5,23.9,20.6,27.3,615,712,,
calgary,human_minus_goes_west,0.5,19.7,16.3,23.1,611,714,,
calgary,auto_dod,0.5,16.8,12.4,20.9,,,,
calgary,metar_CYYC,1.0,16.1,13.2,19.1,1181,1180,42.5,26.4
calgary,metar_CYYC_WINTER,1.0,-4.2,-48.1,32.6,4,3,25.9,30.1
calgary,metar_CYYC_SPRING,1.0,19.3,13.7,24.8,283,283,36.8,17.6
calgary,metar_CYYC_SUMMER,1.0,15.9,11.1,20.3,552,552,44.8,28.9
calgary,metar_CYYC_AUTUMN,1.0,14.1,8.7,19.6,342,342,43.8,29.7
calgary,metar_CYBW,1.0,-0.9,-3.9,2.2,1176,1179,48.7,49.6
calgary,goes_nearest,1.0,-5.3,-9.9,-0.7,641,740,,
calgary,goes_box3,1.0,-6.6,-11.2,-2.0,641,740,,
calgary,goes_box5,1.0,-5.9,-10.5,-1.2,641,740,,
calgary,goes_nearest_west,1.0,-0.9,-5.5,3.7,637,741,,
calgary,goes_nearest_west_GOES17,1.0,-0.1,-9.4,9.6,151,191,,
calgary,goes_nearest_west_GOES18,1.0,-1.0,-6.2,4.2,486,550,,
calgary,goes_nearest_WINTER,1.0,-27.8,-83.3,30.6,3,3,,
calgary,goes_nearest_west_WINTER,1.0,-13.9,-69.4,44.4,3,3,,
calgary,goes_nearest_SPRING,1.0,-0.1,-8.7,8.4,157,184,,
calgary,goes_nearest_west_SPRING,1.0,2.5,-6.3,10.9,157,184,,
calgary,goes_nearest_SUMMER,1.0,-8.3,-15.3,-1.6,266,355,,
calgary,goes_nearest_west_SUMMER,1.0,-2.9,-10.1,4.0,262,356,,
calgary,goes_nearest_AUTUMN,1.0,-6.1,-14.8,2.4,215,201,,
calgary,goes_nearest_west_AUTUMN,1.0,-1.6,-10.6,7.2,215,201,,
calgary,goes_nearest_CYBW,1.0,-5.5,-10.3,-1.1,641,740,,
calgary,human_minus_goes,1.0,23.2,19.9,26.4,641,740,,
calgary,human_minus_goes_west,1.0,18.8,15.5,22.2,637,741,,
calgary,auto_dod,1.0,17.0,12.8,21.2,,,,
calgary,metar_CYYC,2.0,15.8,13.0,18.8,1243,1242,41.9,26.1
calgary,metar_CYYC_WINTER,2.0,3.0,-26.3,29.3,7,6,18.1,15.0
calgary,metar_CYYC_SPRING,2.0,18.0,12.7,23.3,317,317,35.7,17.6
calgary,metar_CYYC_SUMMER,2.0,15.9,11.1,20.3,552,552,44.8,28.9
calgary,metar_CYYC_AUTUMN,2.0,13.9,8.6,19.4,367,367,43.4,29.5
calgary,metar_CYBW,2.0,-1.4,-4.3,1.7,1238,1241,48.0,49.4
calgary,goes_nearest,2.0,-5.4,-10.0,-0.9,680,778,,
calgary,goes_box3,2.0,-6.8,-11.3,-2.4,680,778,,
calgary,goes_box5,2.0,-6.2,-10.8,-1.7,680,778,,
calgary,goes_nearest_west,2.0,-0.5,-4.9,3.8,671,778,,
calgary,goes_nearest_west_GOES17,2.0,1.4,-7.9,10.5,157,202,,
calgary,goes_nearest_west_GOES18,2.0,-1.1,-6.4,3.9,514,576,,
calgary,goes_nearest_WINTER,2.0,-11.4,-57.2,29.5,6,5,,
calgary,goes_nearest_west_WINTER,2.0,3.9,-47.2,51.7,6,5,,
calgary,goes_nearest_SPRING,2.0,-0.6,-8.6,7.5,173,203,,
calgary,goes_nearest_west_SPRING,2.0,3.3,-4.5,11.9,171,203,,
calgary,goes_nearest_SUMMER,2.0,-8.3,-15.3,-1.6,266,355,,
calgary,goes_nearest_west_SUMMER,2.0,-2.9,-10.1,4.0,262,356,,
calgary,goes_nearest_AUTUMN,2.0,-6.2,-13.9,2.2,235,218,,
calgary,goes_nearest_west_AUTUMN,2.0,-1.8,-10.2,6.4,232,217,,
calgary,goes_nearest_CYBW,2.0,-5.8,-10.2,-1.2,680,778,,
calgary,human_minus_goes,2.0,22.8,19.6,26.0,680,778,,
calgary,human_minus_goes_west,2.0,18.4,15.0,21.7,671,778,,
calgary,auto_dod,2.0,17.1,12.8,21.3,,,,
calgary,metar_CYYC,5.0,15.8,13.0,18.3,1388,1387,41.2,25.5
calgary,metar_CYYC_WINTER,5.0,15.9,0.3,31.7,23,22,27.8,11.9
calgary,metar_CYYC_SPRING,5.0,17.0,12.3,21.7,381,381,35.2,18.2
calgary,metar_CYYC_SUMMER,5.0,15.9,11.1,20.3,552,552,44.8,28.9
calgary,metar_CYYC_AUTUMN,5.0,14.5,9.7,19.4,432,432,42.8,28.3
calgary,metar_CYBW,5.0,-1.5,-4.4,1.2,1383,1386,47.5,49.1
calgary,goes_nearest,5.0,-5.5,-9.6,-1.3,771,863,,
calgary,goes_box3,5.0,-6.7,-10.9,-2.5,771,863,,
calgary,goes_box5,5.0,-6.3,-10.4,-1.9,771,863,,
calgary,goes_nearest_west,5.0,-0.5,-4.7,3.7,754,860,,
calgary,goes_nearest_west_GOES17,5.0,2.0,-7.0,10.6,170,219,,
calgary,goes_nearest_west_GOES18,5.0,-1.1,-6.0,3.9,584,641,,
calgary,goes_nearest_WINTER,5.0,-1.5,-27.4,20.7,19,13,,
calgary,goes_nearest_west_WINTER,5.0,7.5,-21.6,36.5,17,12,,
calgary,goes_nearest_SPRING,5.0,-2.7,-10.4,4.6,211,248,,
calgary,goes_nearest_west_SPRING,5.0,2.7,-4.8,10.0,209,248,,
calgary,goes_nearest_SUMMER,5.0,-8.3,-15.3,-1.6,266,355,,
calgary,goes_nearest_west_SUMMER,5.0,-2.9,-10.1,4.0,262,356,,
calgary,goes_nearest_AUTUMN,5.0,-5.1,-12.2,2.5,275,250,,
calgary,goes_nearest_west_AUTUMN,5.0,-1.6,-9.3,6.1,266,247,,
calgary,goes_nearest_CYBW,5.0,-5.6,-9.8,-1.2,771,863,,
calgary,human_minus_goes,5.0,22.8,19.9,25.7,771,863,,
calgary,human_minus_goes_west,5.0,18.4,15.4,21.3,754,860,,
calgary,auto_dod,5.0,17.3,13.5,21.3,,,,
vancouver,metar_CYVR,0.5,8.2,5.5,10.7,1787,1786,38.2,30.0
vancouver,metar_CYVR_WINTER,0.5,5.2,-0.1,10.6,249,248,21.1,15.9
vancouver,metar_CYVR_SPRING,0.5,8.4,3.5,12.9,481,481,35.4,27.1
vancouver,metar_CYVR_SUMMER,0.5,10.0,4.9,15.0,551,552,53.4,43.4
vancouver,metar_CYVR_AUTUMN,0.5,7.5,2.9,12.3,506,505,32.6,25.1
vancouver,goes_nearest,0.5,-2.0,-5.7,1.9,1007,1070,,
vancouver,goes_box3,0.5,-1.7,-5.4,2.3,1007,1070,,
vancouver,goes_box5,0.5,-2.0,-5.7,1.9,1007,1070,,
vancouver,goes_nearest_east,0.5,-3.6,-7.3,0.1,1029,1076,,
vancouver,goes_nearest_west_GOES17,0.5,-2.4,-10.5,5.6,199,244,,
vancouver,goes_nearest_west_GOES18,0.5,-1.9,-6.2,2.2,808,826,,
vancouver,goes_nearest_WINTER,0.5,0.2,-7.4,7.3,179,144,,
vancouver,goes_nearest_east_WINTER,0.5,-2.1,-8.3,3.9,177,145,,
vancouver,goes_nearest_SPRING,0.5,-1.5,-8.7,5.8,261,297,,
vancouver,goes_nearest_east_SPRING,0.5,-1.5,-8.7,5.5,272,297,,
vancouver,goes_nearest_SUMMER,0.5,1.6,-5.9,8.6,260,352,,
vancouver,goes_nearest_east_SUMMER,0.5,1.7,-5.1,8.9,265,353,,
vancouver,goes_nearest_AUTUMN,0.5,0.7,-6.1,7.9,307,281,,
vancouver,goes_nearest_east_AUTUMN,0.5,-3.0,-9.9,3.6,315,285,,
vancouver,human_minus_goes,0.5,9.1,6.6,11.6,1007,1070,,
vancouver,human_minus_goes_east,0.5,10.8,8.3,13.4,1029,1076,,
vancouver,metar_CYVR,1.0,8.2,5.6,10.6,1858,1858,37.6,29.5
vancouver,metar_CYVR_WINTER,1.0,5.1,0.2,10.2,288,288,20.5,15.4
vancouver,metar_CYVR_SPRING,1.0,8.6,3.7,13.3,505,505,35.4,26.8
vancouver,metar_CYVR_SUMMER,1.0,10.0,4.9,15.0,551,552,53.4,43.4
vancouver,metar_CYVR_AUTUMN,1.0,7.5,3.0,11.9,514,513,32.6,25.1
vancouver,goes_nearest,1.0,-2.1,-5.7,1.8,1045,1102,,
vancouver,goes_box3,1.0,-1.7,-5.4,2.2,1045,1102,,
vancouver,goes_box5,1.0,-2.1,-5.8,1.9,1045,1102,,
vancouver,goes_nearest_east,1.0,-3.7,-7.4,0.1,1065,1108,,
vancouver,goes_nearest_west_GOES17,1.0,-3.2,-11.1,4.5,208,251,,
vancouver,goes_nearest_west_GOES18,1.0,-1.8,-6.1,2.5,837,851,,
vancouver,goes_nearest_WINTER,1.0,1.3,-5.9,8.0,200,160,,
vancouver,goes_nearest_east_WINTER,1.0,-1.5,-6.9,3.9,198,161,,
vancouver,goes_nearest_SPRING,1.0,-1.6,-8.4,5.0,274,310,,
vancouver,goes_nearest_east_SPRING,1.0,-1.4,-8.2,5.4,284,310,,
vancouver,goes_nearest_SUMMER,1.0,1.6,-5.9,8.6,260,352,,
vancouver,goes_nearest_east_SUMMER,1.0,1.7,-5.1,8.9,265,353,,
vancouver,goes_nearest_AUTUMN,1.0,0.3,-6.4,7.5,311,284,,
vancouver,goes_nearest_east_AUTUMN,1.0,-3.3,-10.1,3.2,318,288,,
vancouver,human_minus_goes,1.0,9.0,6.6,11.3,1045,1102,,
vancouver,human_minus_goes_east,1.0,10.7,8.3,13.3,1065,1108,,
vancouver,metar_CYVR,2.0,8.2,5.7,10.7,1948,1948,36.7,28.5
vancouver,metar_CYVR_WINTER,2.0,6.0,1.3,10.3,350,350,19.8,13.8
vancouver,metar_CYVR_SPRING,2.0,8.6,4.0,13.2,522,522,35.0,26.4
