site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
calgary,metar_CYYC,0.5,16.0,13.1,18.9,1130,1129,42.9,26.9
calgary,metar_CYBW,0.5,-0.7,-3.8,2.4,1125,1128,49.1,49.8
calgary,goes_nearest,0.5,-6.3,-12.7,0.7,287,339,,
calgary,goes_box3,0.5,-4.8,-11.4,2.1,287,339,,
calgary,goes_box5,0.5,-6.0,-12.6,0.9,287,339,,
calgary,goes_nearest_west,0.5,-0.9,-7.6,5.5,259,339,,
calgary,goes_nearest_west_GOES17,0.5,-0.9,-7.6,5.5,259,339,,
calgary,goes_nearest_SPRING,0.5,-10.7,-23.3,3.0,55,69,,
calgary,goes_nearest_west_SPRING,0.5,0.6,-14.0,15.1,51,70,,
calgary,goes_nearest_SUMMER,0.5,-10.0,-19.6,-0.5,135,178,,
calgary,goes_nearest_west_SUMMER,0.5,-3.4,-13.8,6.8,115,177,,
calgary,goes_nearest_AUTUMN,0.5,3.2,-8.8,16.0,96,93,,
calgary,goes_nearest_west_AUTUMN,0.5,3.4,-8.9,15.1,92,93,,
calgary,goes_nearest_CYBW,0.5,-1.1,-8.2,5.6,287,339,,
calgary,human_minus_goes,0.5,15.3,10.9,19.8,287,339,,
calgary,auto_dod,0.5,16.8,12.4,20.9,,,,
calgary,metar_CYYC,1.0,16.1,13.2,19.1,1181,1180,42.5,26.4
calgary,metar_CYBW,1.0,-0.9,-3.9,2.2,1176,1179,48.7,49.6
calgary,goes_nearest,1.0,-6.1,-12.5,0.2,306,360,,
calgary,goes_box3,1.0,-4.7,-10.9,1.6,306,360,,
calgary,goes_box5,1.0,-6.1,-12.3,0.4,306,360,,
calgary,goes_nearest_west,1.0,-0.9,-7.3,5.7,276,359,,
calgary,goes_nearest_west_GOES17,1.0,-0.9,-7.3,5.7,276,359,,
calgary,goes_nearest_SPRING,1.0,-9.6,-21.6,3.1,65,82,,
calgary,goes_nearest_west_SPRING,1.0,0.3,-12.2,13.8,60,82,,
calgary,goes_nearest_SUMMER,1.0,-10.0,-19.6,-0.5,135,178,,
calgary,goes_nearest_west_SUMMER,1.0,-3.4,-13.8,6.8,115,177,,
calgary,goes_nearest_AUTUMN,1.0,2.7,-8.1,13.7,105,101,,
calgary,goes_nearest_west_AUTUMN,1.0,3.6,-8.0,14.6,100,101,,
calgary,goes_nearest_CYBW,1.0,-1.3,-7.5,5.2,306,360,,
calgary,human_minus_goes,1.0,16.1,11.5,20.7,306,360,,
calgary,auto_dod,1.0,17.0,12.8,21.2,,,,
calgary,metar_CYYC,2.0,15.8,13.0,18.8,1243,1242,41.9,26.1
calgary,metar_CYBW,2.0,-1.4,-4.3,1.7,1238,1241,48.0,49.4
calgary,goes_nearest,2.0,-5.6,-12.1,0.5,322,375,,
calgary,goes_box3,2.0,-4.3,-10.9,1.7,322,375,,
calgary,goes_box5,2.0,-5.6,-12.1,0.7,322,375,,
calgary,goes_nearest_west,2.0,-0.7,-7.1,5.9,288,374,,
calgary,goes_nearest_west_GOES17,2.0,-0.7,-7.1,5.9,288,374,,
calgary,goes_nearest_SPRING,2.0,-8.7,-19.8,2.6,76,94,,
calgary,goes_nearest_west_SPRING,2.0,-0.3,-12.7,12.3,68,94,,
calgary,goes_nearest_SUMMER,2.0,-10.0,-19.6,-0.5,135,178,,
calgary,goes_nearest_west_SUMMER,2.0,-3.4,-13.8,6.8,115,177,,
calgary,goes_nearest_AUTUMN,2.0,3.9,-6.7,15.0,110,104,,
calgary,goes_nearest_west_AUTUMN,2.0,4.1,-7.2,15.2,104,104,,
calgary,goes_nearest_CYBW,2.0,-1.5,-7.6,4.6,322,375,,
calgary,human_minus_goes,2.0,15.0,10.6,19.3,322,375,,
calgary,auto_dod,2.0,17.1,12.8,21.3,,,,
calgary,metar_CYYC,5.0,15.8,13.0,18.3,1388,1387,41.2,25.5
calgary,metar_CYBW,5.0,-1.5,-4.4,1.2,1383,1386,47.5,49.1
calgary,goes_nearest,5.0,-5.7,-11.3,0.1,364,414,,
calgary,goes_box3,5.0,-4.3,-10.1,1.5,364,414,,
calgary,goes_box5,5.0,-5.5,-11.2,0.1,364,414,,
calgary,goes_nearest_west,5.0,-1.1,-7.4,5.2,325,413,,
calgary,goes_nearest_west_GOES17,5.0,-1.1,-7.4,5.2,325,413,,
calgary,goes_nearest_SPRING,5.0,-7.1,-17.9,2.8,92,112,,
calgary,goes_nearest_west_SPRING,5.0,0.9,-10.5,12.3,81,112,,
calgary,goes_nearest_SUMMER,5.0,-10.0,-19.6,-0.5,135,178,,
calgary,goes_nearest_west_SUMMER,5.0,-3.4,-13.8,6.8,115,177,,
calgary,goes_nearest_AUTUMN,5.0,1.8,-8.3,12.0,131,124,,
calgary,goes_nearest_west_AUTUMN,5.0,1.5,-8.3,11.4,123,124,,
calgary,goes_nearest_CYBW,5.0,-1.5,-7.2,4.4,364,414,,
calgary,human_minus_goes,5.0,14.9,10.5,19.1,364,414,,
calgary,auto_dod,5.0,17.3,13.5,21.3,,,,
vancouver,metar_CYVR,0.5,8.2,5.5,10.7,1787,1786,38.2,30.0
vancouver,goes_nearest,0.5,8.7,3.4,14.1,444,523,,
vancouver,goes_box3,0.5,7.7,2.2,13.0,444,523,,
vancouver,goes_box5,0.5,6.6,1.0,12.1,444,523,,
vancouver,goes_nearest_east,0.5,6.1,0.6,11.4,488,524,,
vancouver,goes_nearest_west_GOES17,0.5,8.7,3.4,14.1,444,523,,
vancouver,goes_nearest_WINTER,0.5,7.6,-7.3,22.5,55,45,,
vancouver,goes_nearest_east_WINTER,0.5,5.5,-10.6,21.2,56,45,,
vancouver,goes_nearest_SPRING,0.5,5.5,-4.5,15.8,122,155,,
vancouver,goes_nearest_east_SPRING,0.5,6.3,-3.7,16.3,138,155,,
vancouver,goes_nearest_SUMMER,0.5,16.4,5.5,25.8,119,177,,
vancouver,goes_nearest_east_SUMMER,0.5,8.3,-2.1,18.1,139,178,,
vancouver,goes_nearest_AUTUMN,0.5,10.3,1.0,19.4,148,147,,
vancouver,goes_nearest_east_AUTUMN,0.5,8.9,0.4,17.4,155,147,,
vancouver,human_minus_goes,0.5,-5.0,-8.9,-0.8,444,522,,
vancouver,metar_CYVR,1.0,8.2,5.6,10.6,1858,1858,37.6,29.5
vancouver,goes_nearest,1.0,8.5,3.2,13.7,472,548,,
vancouver,goes_box3,1.0,7.6,2.4,12.6,472,548,,
vancouver,goes_box5,1.0,6.5,1.3,11.7,472,548,,
vancouver,goes_nearest_east,1.0,6.3,0.9,11.7,518,548,,
vancouver,goes_nearest_west_GOES17,1.0,8.5,3.2,13.7,472,548,,
vancouver,goes_nearest_WINTER,1.0,5.6,-7.5,18.4,73,59,,
vancouver,goes_nearest_east_WINTER,1.0,5.2,-9.1,18.8,75,59,,
vancouver,goes_nearest_SPRING,1.0,6.4,-3.6,17.0,130,164,,
vancouver,goes_nearest_east_SPRING,1.0,6.9,-3.0,17.0,147,163,,
vancouver,goes_nearest_SUMMER,1.0,16.4,5.5,25.8,119,177,,
vancouver,goes_nearest_east_SUMMER,1.0,8.3,-2.1,18.1,139,178,,
vancouver,goes_nearest_AUTUMN,1.0,10.6,1.2,20.0,150,149,,
vancouver,goes_nearest_east_AUTUMN,1.0,9.5,0.7,18.4,157,149,,
vancouver,human_minus_goes,1.0,-4.9,-8.7,-0.9,472,547,,
vancouver,metar_CYVR,2.0,8.2,5.7,10.7,1948,1948,36.7,28.5
vancouver,goes_nearest,2.0,7.6,2.5,12.6,507,575,,
vancouver,goes_box3,2.0,6.9,1.6,12.1,507,575,,
vancouver,goes_box5,2.0,5.9,0.5,11.0,507,575,,
vancouver,goes_nearest_east,2.0,6.1,0.8,11.2,551,576,,
vancouver,goes_nearest_west_GOES17,2.0,7.6,2.5,12.6,507,575,,
vancouver,goes_nearest_WINTER,2.0,5.3,-5.2,15.9,96,80,,
vancouver,goes_nearest_east_WINTER,2.0,6.7,-4.0,17.8,96,80,,
vancouver,goes_nearest_SPRING,2.0,6.1,-4.7,16.7,137,168,,
vancouver,goes_nearest_east_SPRING,2.0,7.4,-2.5,17.2,153,168,,
vancouver,goes_nearest_SUMMER,2.0,16.4,5.5,25.8,119,177,,
vancouver,goes_nearest_east_SUMMER,2.0,8.3,-2.1,18.1,139,178,,
vancouver,goes_nearest_AUTUMN,2.0,10.0,1.0,19.3,155,152,,
vancouver,goes_nearest_east_AUTUMN,2.0,8.7,0.1,17.4,163,152,,
vancouver,human_minus_goes,2.0,-4.4,-7.9,-0.5,507,574,,
vancouver,metar_CYVR,5.0,8.0,5.5,10.5,2038,2038,35.9,27.9
vancouver,goes_nearest,5.0,7.5,2.6,12.4,535,598,,
vancouver,goes_box3,5.0,6.9,2.1,11.9,535,598,,
vancouver,goes_box5,5.0,5.8,0.9,11.0,535,598,,
vancouver,goes_nearest_east,5.0,6.0,1.1,11.0,579,599,,
vancouver,goes_nearest_west_GOES17,5.0,7.5,2.6,12.4,535,598,,
vancouver,goes_nearest_WINTER,5.0,5.4,-3.9,15.4,118,98,,
vancouver,goes_nearest_east_WINTER,5.0,6.5,-3.5,16.2,118,98,,
vancouver,goes_nearest_SPRING,5.0,6.4,-3.5,16.6,139,169,,
vancouver,goes_nearest_east_SPRING,5.0,7.7,-1.9,17.2,155,169,,
vancouver,goes_nearest_SUMMER,5.0,16.4,5.5,25.8,119,177,,
vancouver,goes_nearest_east_SUMMER,5.0,8.3,-2.1,18.1,139,178,,
vancouver,goes_nearest_AUTUMN,5.0,10.0,1.2,19.0,159,156,,
vancouver,goes_nearest_east_AUTUMN,5.0,8.7,0.1,17.5,167,156,,
vancouver,human_minus_goes,5.0,-4.2,-7.7,-0.6,535,597,,
edmonton,metar_CYEG,0.5,8.7,5.6,11.5,1190,1190,33.8,25.1
edmonton,metar_CZVL,0.5,-9.0,-12.1,-6.0,1190,1190,47.6,56.6
edmonton,goes_nearest,0.5,-5.1,-11.2,1.2,299,370,,
edmonton,goes_box3,0.5,-4.4,-10.6,2.1,299,370,,
edmonton,goes_box5,0.5,-4.2,-10.5,2.1,299,370,,
edmonton,goes_nearest_west,0.5,-4.2,-10.3,2.7,274,367,,
edmonton,goes_nearest_west_GOES17,0.5,-4.2,-10.3,2.7,274,367,,
edmonton,goes_nearest_SPRING,0.5,8.9,-3.8,21.1,62,83,,
edmonton,goes_nearest_west_SPRING,0.5,6.8,-6.5,19.3,60,81,,
edmonton,goes_nearest_SUMMER,0.5,-10.3,-20.0,0.1,120,179,,
edmonton,goes_nearest_west_SUMMER,0.5,-6.0,-16.4,4.7,102,178,,
edmonton,goes_nearest_AUTUMN,0.5,-7.8,-18.3,2.7,116,109,,
edmonton,goes_nearest_west_AUTUMN,0.5,-8.2,-18.6,2.3,111,109,,
edmonton,goes_nearest_CZVL,0.5,-0.6,-6.8,5.4,299,370,,
edmonton,human_minus_goes,0.5,12.6,8.3,17.3,299,370,,
edmonton,auto_dod,0.5,17.6,13.4,21.9,,,,
edmonton,metar_CYEG,1.0,8.8,6.0,11.6,1232,1231,33.6,24.9
edmonton,metar_CZVL,1.0,-9.0,-11.8,-6.0,1232,1231,47.6,56.6
edmonton,goes_nearest,1.0,-4.3,-10.4,2.1,313,385,,
edmonton,goes_box3,1.0,-3.5,-9.8,2.8,313,385,,
edmonton,goes_box5,1.0,-3.2,-9.6,3.0,313,385,,
edmonton,goes_nearest_west,1.0,-3.5,-9.8,2.9,286,382,,
edmonton,goes_nearest_west_GOES17,1.0,-3.5,-9.8,2.9,286,382,,
edmonton,goes_nearest_SPRING,1.0,11.7,-0.7,24.4,70,92,,
edmonton,goes_nearest_west_SPRING,1.0,8.5,-4.5,21.3,67,90,,
edmonton,goes_nearest_SUMMER,1.0,-10.3,-20.0,0.1,120,179,,
edmonton,goes_nearest_west_SUMMER,1.0,-6.0,-16.4,4.7,102,178,,
edmonton,goes_nearest_AUTUMN,1.0,-7.9,-18.6,2.2,122,115,,
edmonton,goes_nearest_west_AUTUMN,1.0,-7.4,-17.5,2.8,116,115,,
