site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
calgary,metar_CYYC,0.5,16.0,13.1,18.9,1130,1129,42.9,26.9
calgary,metar_CYBW,0.5,-0.7,-3.8,2.4,1125,1128,49.1,49.8
calgary,goes_nearest,0.5,-5.9,-9.7,-2.1,902,1051,,
calgary,goes_box3,0.5,-6.4,-10.2,-2.4,902,1051,,
calgary,goes_box5,0.5,-6.2,-10.1,-2.3,902,1051,,
calgary,goes_nearest_west,0.5,-1.2,-5.2,2.9,870,1053,,
calgary,goes_nearest_west_GOES17,0.5,-0.9,-6.9,4.7,404,524,,
calgary,goes_nearest_west_GOES18,0.5,-1.7,-7.2,3.9,466,529,,
calgary,goes_nearest_SPRING,0.5,-4.3,-11.2,3.0,201,239,,
calgary,goes_nearest_west_SPRING,0.5,0.4,-7.1,8.6,195,240,,
calgary,goes_nearest_SUMMER,0.5,-8.9,-14.5,-2.9,401,533,,
calgary,goes_nearest_west_SUMMER,0.5,-3.0,-8.7,2.6,377,533,,
calgary,goes_nearest_AUTUMN,0.5,-3.2,-10.5,3.8,298,282,,
calgary,goes_nearest_west_AUTUMN,0.5,-0.2,-7.3,7.1,296,283,,
calgary,goes_nearest_CYBW,0.5,-4.3,-8.3,-0.6,902,1051,,
calgary,human_minus_goes,0.5,21.1,18.4,23.9,902,1051,,
calgary,auto_dod,0.5,16.8,12.4,20.9,,,,
calgary,metar_CYYC,1.0,16.1,13.2,19.1,1181,1180,42.5,26.4
calgary,metar_CYBW,1.0,-0.9,-3.9,2.2,1176,1179,48.7,49.6
calgary,goes_nearest,1.0,-5.6,-9.3,-1.7,947,1100,,
calgary,goes_box3,1.0,-6.0,-9.6,-2.2,947,1100,,
calgary,goes_box5,1.0,-6.0,-9.6,-2.2,947,1100,,
calgary,goes_nearest_west,1.0,-0.7,-4.4,3.2,913,1100,,
calgary,goes_nearest_west_GOES17,1.0,-0.5,-6.0,4.7,427,550,,
calgary,goes_nearest_west_GOES18,1.0,-1.0,-6.2,4.2,486,550,,
calgary,goes_nearest_WINTER,1.0,-35.4,-85.4,20.8,4,3,,
calgary,goes_nearest_west_WINTER,1.0,-25.0,-83.3,33.3,4,3,,
calgary,goes_nearest_SPRING,1.0,-2.9,-9.9,4.3,222,266,,
calgary,goes_nearest_west_SPRING,1.0,2.0,-5.4,9.2,217,266,,
calgary,goes_nearest_SUMMER,1.0,-8.9,-14.5,-2.9,401,533,,
calgary,goes_nearest_west_SUMMER,1.0,-3.0,-8.7,2.6,377,533,,
calgary,goes_nearest_AUTUMN,1.0,-3.0,-9.7,3.7,320,302,,
calgary,goes_nearest_west_AUTUMN,1.0,0.4,-6.5,7.3,315,302,,
calgary,goes_nearest_CYBW,1.0,-4.1,-7.7,-0.4,947,1100,,
calgary,human_minus_goes,1.0,20.8,18.2,23.5,947,1100,,
calgary,auto_dod,1.0,17.0,12.8,21.2,,,,
calgary,metar_CYYC,2.0,15.8,13.0,18.8,1243,1242,41.9,26.1
calgary,metar_CYBW,2.0,-1.4,-4.3,1.7,1238,1241,48.0,49.4
calgary,goes_nearest,2.0,-5.4,-9.1,-1.8,1002,1153,,
calgary,goes_box3,2.0,-5.9,-9.6,-2.3,1002,1153,,
calgary,goes_box5,2.0,-6.0,-9.6,-2.4,1002,1153,,
calgary,goes_nearest_west,2.0,-0.4,-4.3,3.4,959,1152,,
calgary,goes_nearest_west_GOES17,2.0,0.1,-5.1,5.2,445,576,,
calgary,goes_nearest_west_GOES18,2.0,-1.1,-6.4,3.9,514,576,,
calgary,goes_nearest_WINTER,2.0,-14.8,-58.3,26.2,7,5,,
calgary,goes_nearest_west_WINTER,2.0,-1.7,-50.0,46.9,7,5,,
calgary,goes_nearest_SPRING,2.0,-3.1,-9.8,3.6,249,297,,
calgary,goes_nearest_west_SPRING,2.0,2.4,-4.5,9.0,239,297,,
calgary,goes_nearest_SUMMER,2.0,-8.9,-14.5,-2.9,401,533,,
calgary,goes_nearest_west_SUMMER,2.0,-3.0,-8.7,2.6,377,533,,
calgary,goes_nearest_AUTUMN,2.0,-2.9,-9.3,4.1,345,322,,
calgary,goes_nearest_west_AUTUMN,2.0,0.3,-6.6,7.3,336,321,,
calgary,goes_nearest_CYBW,2.0,-4.4,-7.9,-0.8,1002,1153,,
calgary,human_minus_goes,2.0,20.2,17.8,22.9,1002,1153,,
calgary,auto_dod,2.0,17.1,12.8,21.3,,,,
calgary,metar_CYYC,5.0,15.8,13.0,18.3,1388,1387,41.2,25.5
calgary,metar_CYBW,5.0,-1.5,-4.4,1.2,1383,1386,47.5,49.1
calgary,goes_nearest,5.0,-5.5,-8.8,-2.3,1135,1277,,
calgary,goes_box3,5.0,-5.9,-9.1,-2.5,1135,1277,,
calgary,goes_box5,5.0,-6.0,-9.2,-2.6,1135,1277,,
calgary,goes_nearest_west,5.0,-0.5,-4.2,3.2,1079,1273,,
calgary,goes_nearest_west_GOES17,5.0,-0.1,-5.1,5.2,495,632,,
calgary,goes_nearest_west_GOES18,5.0,-1.1,-6.0,3.9,584,641,,
calgary,goes_nearest_WINTER,5.0,-3.5,-27.5,18.2,25,14,,
calgary,goes_nearest_west_WINTER,5.0,6.3,-21.0,31.1,23,13,,
calgary,goes_nearest_SPRING,5.0,-4.0,-9.8,1.8,303,360,,
calgary,goes_nearest_west_SPRING,5.0,2.3,-4.1,8.6,290,360,,
calgary,goes_nearest_SUMMER,5.0,-8.9,-14.5,-2.9,401,533,,
calgary,goes_nearest_west_SUMMER,5.0,-3.0,-8.7,2.6,377,533,,
calgary,goes_nearest_AUTUMN,5.0,-2.7,-8.7,3.5,406,374,,
calgary,goes_nearest_west_AUTUMN,5.0,-0.3,-6.6,6.2,389,371,,
calgary,goes_nearest_CYBW,5.0,-4.3,-7.5,-0.8,1135,1277,,
calgary,human_minus_goes,5.0,20.2,17.8,22.6,1135,1277,,
calgary,auto_dod,5.0,17.3,13.5,21.3,,,,
vancouver,metar_CYVR,0.5,8.2,5.5,10.7,1787,1786,38.2,30.0
vancouver,goes_nearest,0.5,1.4,-1.7,4.4,1451,1593,,
vancouver,goes_box3,0.5,1.3,-1.8,4.4,1451,1593,,
vancouver,goes_box5,0.5,0.7,-2.4,3.9,1451,1593,,
vancouver,goes_nearest_east,0.5,-0.5,-3.5,2.5,1517,1600,,
vancouver,goes_nearest_west_GOES17,0.5,5.2,0.7,10.0,643,767,,
vancouver,goes_nearest_west_GOES18,0.5,-1.9,-6.2,2.2,808,826,,
vancouver,goes_nearest_WINTER,0.5,1.9,-5.3,8.4,234,189,,
vancouver,goes_nearest_east_WINTER,0.5,-0.2,-6.7,6.1,233,190,,
vancouver,goes_nearest_SPRING,0.5,0.6,-5.3,6.4,383,452,,
vancouver,goes_nearest_east_SPRING,0.5,1.1,-4.5,7.0,410,452,,
vancouver,goes_nearest_SUMMER,0.5,6.6,0.8,12.3,379,529,,
vancouver,goes_nearest_east_SUMMER,0.5,3.9,-2.0,9.6,404,531,,
vancouver,goes_nearest_AUTUMN,0.5,4.0,-1.4,9.5,455,428,,
vancouver,goes_nearest_east_AUTUMN,0.5,1.0,-4.2,6.5,470,432,,
vancouver,human_minus_goes,0.5,4.7,2.5,6.7,1451,1592,,
vancouver,metar_CYVR,1.0,8.2,5.6,10.6,1858,1858,37.6,29.5
vancouver,goes_nearest,1.0,1.3,-1.6,4.5,1517,1650,,
vancouver,goes_box3,1.0,1.3,-1.6,4.6,1517,1650,,
vancouver,goes_box5,1.0,0.7,-2.2,4.0,1517,1650,,
vancouver,goes_nearest_east,1.0,-0.4,-3.3,2.6,1583,1656,,
vancouver,goes_nearest_west_GOES17,1.0,4.9,0.3,9.1,680,799,,
vancouver,goes_nearest_west_GOES18,1.0,-1.8,-6.1,2.5,837,851,,
vancouver,goes_nearest_WINTER,1.0,2.4,-3.5,8.7,273,219,,
vancouver,goes_nearest_east_WINTER,1.0,0.4,-5.4,6.1,273,220,,
vancouver,goes_nearest_SPRING,1.0,0.9,-5.1,6.5,404,474,,
vancouver,goes_nearest_east_SPRING,1.0,1.5,-4.1,7.1,431,473,,
vancouver,goes_nearest_SUMMER,1.0,6.6,0.8,12.3,379,529,,
vancouver,goes_nearest_east_SUMMER,1.0,3.9,-2.0,9.6,404,531,,
vancouver,goes_nearest_AUTUMN,1.0,3.9,-1.4,9.5,461,433,,
vancouver,goes_nearest_east_AUTUMN,1.0,1.0,-4.7,6.6,475,437,,
vancouver,human_minus_goes,1.0,4.6,2.6,6.7,1517,1649,,
vancouver,metar_CYVR,2.0,8.2,5.7,10.7,1948,1948,36.7,28.5
vancouver,goes_nearest,2.0,0.9,-2.1,3.6,1603,1715,,
vancouver,goes_box3,2.0,0.9,-2.0,3.7,1603,1715,,
vancouver,goes_box5,2.0,0.4,-2.4,3.2,1603,1715,,
vancouver,goes_nearest_east,2.0,-0.6,-3.6,2.3,1666,1722,,
vancouver,goes_nearest_west_GOES17,2.0,4.2,-0.0,8.4,726,833,,
vancouver,goes_nearest_west_GOES18,2.0,-2.1,-6.5,2.0,877,882,,
vancouver,goes_nearest_WINTER,2.0,2.2,-3.2,7.5,332,265,,
vancouver,goes_nearest_east_WINTER,2.0,0.9,-3.8,5.6,330,266,,
vancouver,goes_nearest_SPRING,2.0,0.7,-5.2,6.3,422,488,,
vancouver,goes_nearest_east_SPRING,2.0,1.5,-4.1,7.1,447,488,,
vancouver,goes_nearest_SUMMER,2.0,6.6,0.8,12.3,379,529,,
vancouver,goes_nearest_east_SUMMER,2.0,3.9,-2.0,9.6,404,531,,
vancouver,goes_nearest_AUTUMN,2.0,3.8,-1.7,9.7,470,439,,
vancouver,goes_nearest_east_AUTUMN,2.0,0.9,-4.7,6.2,485,443,,
vancouver,human_minus_goes,2.0,5.0,3.0,6.9,1603,1714,,
vancouver,metar_CYVR,5.0,8.0,5.5,10.5,2038,2038,35.9,27.9
vancouver,goes_nearest,5.0,0.9,-2.1,3.7,1687,1791,,
vancouver,goes_box3,5.0,0.8,-2.2,3.6,1687,1791,,
vancouver,goes_box5,5.0,0.2,-2.7,3.1,1687,1791,,
vancouver,goes_nearest_east,5.0,-0.7,-3.4,2.2,1753,1798,,
vancouver,goes_nearest_west_GOES17,5.0,4.0,-0.5,8.2,776,877,,
vancouver,goes_nearest_west_GOES18,5.0,-1.9,-6.1,2.1,911,914,,
vancouver,goes_nearest_WINTER,5.0,2.3,-2.5,6.9,392,317,,
vancouver,goes_nearest_east_WINTER,5.0,0.1,-4.4,4.5,391,318,,
vancouver,goes_nearest_SPRING,5.0,1.1,-4.4,6.7,435,500,,
vancouver,goes_nearest_east_SPRING,5.0,2.0,-3.8,7.4,460,500,,
vancouver,goes_nearest_SUMMER,5.0,6.6,0.8,12.3,379,529,,
vancouver,goes_nearest_east_SUMMER,5.0,3.9,-2.0,9.6,404,531,,
vancouver,goes_nearest_AUTUMN,5.0,3.7,-1.9,9.2,481,451,,
vancouver,goes_nearest_east_AUTUMN,5.0,0.7,-4.5,5.9,498,455,,
vancouver,human_minus_goes,5.0,4.6,2.6,6.5,1687,1790,,
edmonton,metar_CYEG,0.5,8.7,5.6,11.5,1190,1190,33.8,25.1
edmonton,metar_CZVL,0.5,-9.0,-12.1,-6.0,1190,1190,47.6,56.6
edmonton,goes_nearest,0.5,-4.5,-8.3,-0.7,904,1109,,
edmonton,goes_box3,0.5,-5.2,-9.0,-1.4,904,1109,,
edmonton,goes_box5,0.5,-4.8,-8.6,-1.0,904,1109,,
edmonton,goes_nearest_west,0.5,-6.6,-10.5,-2.8,871,1109,,
edmonton,goes_nearest_west_GOES17,0.5,-6.1,-11.4,-0.7,397,544,,
edmonton,goes_nearest_west_GOES18,0.5,-7.5,-12.9,-2.1,474,565,,
edmonton,goes_nearest_SPRING,0.5,-0.9,-8.0,6.5,203,260,,
edmonton,goes_nearest_west_SPRING,0.5,-2.1,-8.9,5.8,202,258,,
edmonton,goes_nearest_SUMMER,0.5,-5.6,-11.6,0.5,356,534,,
