site,family,station,footprint,window,n_nights,n_days,n_draws_night,n_draws_day,night_pct,day_pct,delta_pp,ci_lo,ci_hi
calgary,east,CYBW,nearest,full,1882,1931,5000,5000,32.4,34.0,-1.6,-4.2,1.0
calgary,east,CYBW,nearest,calendar_JunNov,914,992,5000,5000,36.3,40.4,-4.1,-8.0,-0.3
calgary,east,CYBW,nearest,winter,513,423,5000,5000,29.8,26.5,3.4,-1.7,8.3
calgary,east,CYBW,nearest,spring,455,516,5000,5000,27.4,27.9,-0.5,-5.3,4.3
calgary,east,CYBW,nearest,summer,404,530,5000,5000,38.1,44.5,-6.4,-11.8,-0.4
calgary,east,CYBW,nearest,autumn,510,462,5000,5000,34.9,35.8,-0.9,-6.1,4.4
calgary,east,CYBW,box3,full,1882,1931,5000,5000,32.4,33.8,-1.3,-4.0,1.3
calgary,east,CYBW,box3,calendar_JunNov,914,992,5000,5000,35.7,40.3,-4.6,-8.4,-0.8
calgary,east,CYBW,box3,winter,513,423,5000,5000,29.9,26.3,3.6,-1.6,8.5
calgary,east,CYBW,box3,spring,455,516,5000,5000,28.7,27.4,1.3,-3.4,6.0
calgary,east,CYBW,box3,summer,404,530,5000,5000,37.2,44.7,-7.4,-13.2,-1.5
calgary,east,CYBW,box3,autumn,510,462,5000,5000,34.4,35.2,-0.7,-5.8,4.5
calgary,east,CYBW,box5,full,1882,1931,5000,5000,32.1,33.7,-1.6,-4.2,1.2
calgary,east,CYBW,box5,calendar_JunNov,914,992,5000,5000,35.9,40.0,-4.2,-8.0,-0.4
calgary,east,CYBW,box5,winter,513,423,5000,5000,29.6,26.5,3.1,-2.0,8.1
calgary,east,CYBW,box5,spring,455,516,5000,5000,27.3,27.3,0.0,-4.8,4.7
calgary,east,CYBW,box5,summer,404,530,5000,5000,37.0,44.2,-7.2,-12.8,-1.4
calgary,east,CYBW,box5,autumn,510,462,5000,5000,35.0,35.2,-0.2,-5.5,4.9
calgary,east,CYYC,nearest,full,1882,1931,5000,5000,34.5,36.8,-2.3,-5.0,0.4
calgary,east,CYYC,nearest,calendar_JunNov,914,992,5000,5000,38.4,42.6,-4.3,-8.2,-0.4
calgary,east,CYYC,nearest,winter,513,423,5000,5000,33.8,30.2,3.6,-1.6,9.0
calgary,east,CYYC,nearest,spring,455,516,5000,5000,27.4,31.1,-3.7,-8.6,1.0
calgary,east,CYYC,nearest,summer,404,530,5000,5000,38.3,46.8,-8.5,-14.2,-2.6
calgary,east,CYYC,nearest,autumn,510,462,5000,5000,38.4,37.8,0.6,-4.9,6.1
calgary,east,CYYC,box3,full,1882,1931,5000,5000,33.8,36.4,-2.6,-5.3,0.2
calgary,east,CYYC,box3,calendar_JunNov,914,992,5000,5000,38.0,42.4,-4.4,-8.5,-0.5
calgary,east,CYYC,box3,winter,513,423,5000,5000,32.9,29.0,3.9,-1.2,9.3
calgary,east,CYYC,box3,spring,455,516,5000,5000,26.5,30.9,-4.3,-9.3,0.6
calgary,east,CYYC,box3,summer,404,530,5000,5000,38.1,47.0,-9.0,-14.7,-3.2
calgary,east,CYYC,box3,autumn,510,462,5000,5000,37.9,37.1,0.8,-4.7,6.2
calgary,east,CYYC,box5,full,1882,1931,5000,5000,33.1,35.8,-2.7,-5.4,-0.0
calgary,east,CYYC,box5,calendar_JunNov,914,992,5000,5000,37.6,42.0,-4.4,-8.5,-0.6
calgary,east,CYYC,box5,winter,513,423,5000,5000,31.7,28.5,3.3,-2.0,8.8
calgary,east,CYYC,box5,spring,455,516,5000,5000,25.6,30.0,-4.4,-9.2,0.2
calgary,east,CYYC,box5,summer,404,530,5000,5000,38.4,46.6,-8.2,-14.1,-2.3
calgary,east,CYYC,box5,autumn,510,462,5000,5000,37.0,36.8,0.2,-5.1,5.5
calgary,west,CYBW,nearest,full,1825,1928,5000,5000,34.1,34.1,0.0,-2.7,2.7
calgary,west,CYBW,nearest,calendar_JunNov,869,990,5000,5000,36.3,39.4,-3.0,-6.9,1.0
calgary,west,CYBW,nearest,winter,513,422,5000,5000,32.0,29.0,3.1,-1.9,8.3
calgary,west,CYBW,nearest,spring,443,516,5000,5000,32.1,28.1,3.9,-1.2,9.3
calgary,west,CYBW,nearest,summer,378,530,5000,5000,35.0,42.1,-7.2,-13.1,-1.2
calgary,west,CYBW,nearest,autumn,491,460,5000,5000,37.4,36.2,1.2,-4.2,6.7
calgary,west,CYBW,box3,full,1825,1928,5000,5000,33.9,34.4,-0.5,-3.2,2.2
calgary,west,CYBW,box3,calendar_JunNov,869,990,5000,5000,36.4,39.7,-3.4,-7.2,0.6
calgary,west,CYBW,box3,winter,513,422,5000,5000,31.7,29.6,2.2,-2.8,7.4
calgary,west,CYBW,box3,spring,443,516,5000,5000,31.5,28.2,3.3,-1.8,8.5
calgary,west,CYBW,box3,summer,378,530,5000,5000,36.0,41.6,-5.7,-11.7,0.4
calgary,west,CYBW,box3,autumn,491,460,5000,5000,36.7,37.5,-0.9,-6.5,4.8
calgary,west,CYBW,box5,full,1825,1928,5000,5000,33.9,34.2,-0.3,-3.0,2.3
calgary,west,CYBW,box5,calendar_JunNov,869,990,5000,5000,37.1,39.4,-2.3,-6.1,1.7
calgary,west,CYBW,box5,winter,513,422,5000,5000,31.1,29.5,1.5,-3.3,6.7
calgary,west,CYBW,box5,spring,443,516,5000,5000,31.0,28.0,3.0,-2.0,8.1
calgary,west,CYBW,box5,summer,378,530,5000,5000,37.3,41.1,-3.8,-9.8,2.2
calgary,west,CYBW,box5,autumn,491,460,5000,5000,37.0,37.4,-0.5,-6.1,5.1
calgary,west,CYYC,nearest,full,1825,1928,5000,5000,37.0,36.1,0.9,-1.8,3.6
calgary,west,CYYC,nearest,calendar_JunNov,869,990,5000,5000,41.1,41.5,-0.5,-4.4,3.5
calgary,west,CYYC,nearest,winter,513,422,5000,5000,35.3,31.6,3.7,-1.3,8.8
calgary,west,CYYC,nearest,spring,443,516,5000,5000,31.0,29.5,1.5,-3.6,6.6
calgary,west,CYYC,nearest,summer,378,530,5000,5000,41.7,44.0,-2.3,-8.4,3.7
calgary,west,CYYC,nearest,autumn,491,460,5000,5000,40.6,38.6,2.0,-3.6,7.9
calgary,west,CYYC,box3,full,1825,1928,5000,5000,36.3,36.4,-0.1,-2.8,2.5
calgary,west,CYYC,box3,calendar_JunNov,869,990,5000,5000,40.5,42.2,-1.7,-5.6,2.3
calgary,west,CYYC,box3,winter,513,422,5000,5000,34.8,31.6,3.2,-1.9,8.2
calgary,west,CYYC,box3,spring,443,516,5000,5000,29.8,29.3,0.6,-4.4,5.8
calgary,west,CYYC,box3,summer,378,530,5000,5000,40.3,44.9,-4.6,-10.4,1.3
calgary,west,CYYC,box3,autumn,491,460,5000,5000,40.7,39.0,1.6,-3.9,7.4
calgary,west,CYYC,box5,full,1825,1928,5000,5000,36.2,36.1,0.1,-2.6,2.8
calgary,west,CYYC,box5,calendar_JunNov,869,990,5000,5000,39.8,41.8,-2.0,-5.9,2.0
calgary,west,CYYC,box5,winter,513,422,5000,5000,34.7,31.6,3.1,-2.1,8.1
calgary,west,CYYC,box5,spring,443,516,5000,5000,31.1,28.9,2.2,-2.8,7.4
calgary,west,CYYC,box5,summer,378,530,5000,5000,38.5,44.6,-6.1,-12.2,-0.2
calgary,west,CYYC,box5,autumn,491,460,5000,5000,40.9,38.6,2.3,-3.3,8.2
edmonton,east,CYEG,nearest,full,1839,1906,5000,5000,33.2,34.8,-1.6,-4.3,1.1
edmonton,east,CYEG,nearest,calendar_JunNov,870,981,5000,5000,36.6,41.5,-4.9,-8.8,-1.0
edmonton,east,CYEG,nearest,winter,518,407,5000,5000,31.5,28.0,3.5,-1.8,8.5
edmonton,east,CYEG,nearest,spring,451,518,5000,5000,28.7,27.6,1.1,-4.2,6.4
edmonton,east,CYEG,nearest,summer,360,531,5000,5000,38.5,44.4,-5.9,-11.9,0.3
edmonton,east,CYEG,nearest,autumn,510,450,5000,5000,35.2,38.1,-2.8,-8.3,2.5
edmonton,east,CYEG,box3,full,1839,1906,5000,5000,32.7,35.0,-2.3,-5.0,0.5
edmonton,east,CYEG,box3,calendar_JunNov,870,981,5000,5000,36.0,41.4,-5.4,-9.3,-1.5
edmonton,east,CYEG,box3,winter,518,407,5000,5000,31.5,27.9,3.6,-1.4,8.5
edmonton,east,CYEG,box3,spring,451,518,5000,5000,27.8,28.4,-0.6,-5.6,4.8
edmonton,east,CYEG,box3,summer,360,531,5000,5000,38.3,43.9,-5.6,-11.8,0.5
edmonton,east,CYEG,box3,autumn,510,450,5000,5000,34.4,38.4,-4.1,-9.4,1.4
edmonton,east,CYEG,box5,full,1839,1906,5000,5000,32.7,35.0,-2.3,-5.1,0.4
edmonton,east,CYEG,box5,calendar_JunNov,870,981,5000,5000,36.1,41.2,-5.1,-8.9,-1.1
edmonton,east,CYEG,box5,winter,518,407,5000,5000,31.7,28.9,2.8,-2.4,8.0
edmonton,east,CYEG,box5,spring,451,518,5000,5000,27.4,28.3,-1.0,-6.1,4.4
edmonton,east,CYEG,box5,summer,360,531,5000,5000,38.9,43.5,-4.6,-10.4,1.5
edmonton,east,CYEG,box5,autumn,510,450,5000,5000,34.1,38.4,-4.3,-9.6,1.0
edmonton,east,CZVL,nearest,full,1839,1906,5000,5000,32.9,35.1,-2.2,-4.9,0.4
edmonton,east,CZVL,nearest,calendar_JunNov,870,981,5000,5000,34.7,40.5,-5.8,-9.5,-1.8
edmonton,east,CZVL,nearest,winter,518,407,5000,5000,32.5,29.0,3.5,-1.5,8.3
edmonton,east,CZVL,nearest,spring,451,518,5000,5000,29.8,29.7,0.2,-5.2,5.1
edmonton,east,CZVL,nearest,summer,360,531,5000,5000,40.3,42.9,-2.6,-8.5,3.5
edmonton,east,CZVL,nearest,autumn,510,450,5000,5000,30.8,37.7,-6.9,-12.1,-1.5
edmonton,east,CZVL,box3,full,1839,1906,5000,5000,33.8,35.4,-1.6,-4.3,1.0
edmonton,east,CZVL,box3,calendar_JunNov,870,981,5000,5000,35.9,41.4,-5.5,-9.2,-1.5
edmonton,east,CZVL,box3,winter,518,407,5000,5000,33.6,28.7,4.9,-0.3,9.9
edmonton,east,CZVL,box3,spring,451,518,5000,5000,30.0,29.4,0.7,-4.7,5.8
edmonton,east,CZVL,box3,summer,360,531,5000,5000,40.5,44.2,-3.7,-9.6,2.4
