site,station,window,metric,n_nights,n_days,night_pct,day_pct,delta_pp,ci_lo,ci_hi
calgary,CYYC,full,okta2,2191,2189,36.7,23.8,12.9,10.8,15.0
calgary,CYYC,full,skc,2191,2189,16.8,3.1,13.7,12.4,14.9
calgary,CYYC,calendar_JunNov,okta2,1098,1097,42.3,27.6,14.7,11.7,17.7
calgary,CYYC,calendar_JunNov,skc,1098,1097,19.4,4.1,15.3,13.4,17.3
calgary,CYYC,winter,okta2,541,540,27.8,20.3,7.5,3.7,11.3
calgary,CYYC,winter,skc,541,540,12.7,1.7,11.0,9.0,13.2
calgary,CYYC,spring,okta2,552,552,34.3,19.8,14.6,10.4,18.5
calgary,CYYC,spring,skc,552,552,15.8,2.7,13.0,10.6,15.5
calgary,CYYC,summer,okta2,552,552,44.8,28.9,15.9,11.1,20.3
calgary,CYYC,summer,skc,552,552,18.2,5.0,13.2,10.2,16.0
calgary,CYYC,autumn,okta2,546,545,39.8,26.4,13.4,9.1,17.6
calgary,CYYC,autumn,skc,546,545,20.6,3.1,17.5,14.8,20.2
calgary,CYBW,full,okta2,2186,2188,42.8,47.3,-4.5,-6.7,-2.3
calgary,CYBW,full,skc,2186,2188,38.3,40.5,-2.2,-4.2,0.0
calgary,CYBW,calendar_JunNov,okta2,1093,1096,48.6,50.8,-2.2,-5.6,1.0
calgary,CYBW,calendar_JunNov,skc,1093,1096,43.6,43.9,-0.3,-3.5,2.9
calgary,CYBW,winter,okta2,541,540,34.4,45.2,-10.7,-15.0,-6.4
calgary,CYBW,winter,skc,541,540,30.6,38.8,-8.2,-12.2,-4.1
calgary,CYBW,spring,okta2,552,552,39.7,42.5,-2.8,-7.1,1.5
calgary,CYBW,spring,skc,552,552,35.3,35.3,0.1,-4.3,4.2
calgary,CYBW,summer,okta2,550,552,48.2,49.2,-1.0,-5.8,3.7
calgary,CYBW,summer,skc,550,552,43.2,41.9,1.3,-3.3,5.8
calgary,CYBW,autumn,okta2,543,544,49.0,52.5,-3.5,-7.9,1.1
calgary,CYBW,autumn,skc,543,544,44.1,46.0,-1.9,-6.3,2.5
vancouver,CYVR,full,okta2,2190,2189,34.4,26.7,7.7,5.3,10.0
vancouver,CYVR,full,skc,2190,2189,17.2,4.5,12.7,11.2,14.2
vancouver,CYVR,calendar_JunNov,okta2,1097,1097,42.6,34.1,8.5,4.9,11.9
vancouver,CYVR,calendar_JunNov,skc,1097,1097,22.3,6.7,15.5,13.2,17.9
vancouver,CYVR,winter,okta2,541,540,18.2,12.8,5.4,2.1,8.7
vancouver,CYVR,winter,skc,541,540,7.7,1.3,6.5,4.7,8.3
vancouver,CYVR,spring,okta2,552,552,33.9,25.5,8.4,3.7,13.1
vancouver,CYVR,spring,skc,552,552,16.5,3.3,13.1,10.3,15.9
vancouver,CYVR,summer,okta2,551,552,53.4,43.4,10.0,4.9,15.0
vancouver,CYVR,summer,skc,551,552,29.8,8.9,20.8,17.0,24.9
vancouver,CYVR,autumn,okta2,546,545,31.7,24.7,7.0,2.8,11.4
vancouver,CYVR,autumn,skc,546,545,14.7,4.5,10.2,7.5,13.0
edmonton,CYEG,full,okta2,2190,2189,28.9,22.0,6.9,4.8,8.9
edmonton,CYEG,full,skc,2190,2189,11.2,2.2,9.0,7.8,10.0
edmonton,CYEG,calendar_JunNov,okta2,1097,1097,34.1,26.1,8.0,4.9,11.0
edmonton,CYEG,calendar_JunNov,skc,1097,1097,13.7,2.9,10.8,9.1,12.5
edmonton,CYEG,winter,okta2,541,540,20.7,18.5,2.3,-1.4,6.0
edmonton,CYEG,winter,skc,541,540,7.3,1.4,5.9,4.3,7.6
edmonton,CYEG,spring,okta2,552,552,26.8,17.5,9.3,5.6,13.0
edmonton,CYEG,spring,skc,552,552,9.9,1.6,8.3,6.2,10.4
edmonton,CYEG,summer,okta2,551,552,33.6,25.3,8.3,3.9,12.6
edmonton,CYEG,summer,skc,551,552,12.8,3.3,9.5,6.9,12.0
edmonton,CYEG,autumn,okta2,546,545,34.6,26.9,7.7,3.5,11.8
edmonton,CYEG,autumn,skc,546,545,14.6,2.6,12.0,9.6,14.6
edmonton,CZVL,full,okta2,2186,2187,42.6,52.3,-9.6,-11.8,-7.5
edmonton,CZVL,full,skc,2186,2187,37.7,43.9,-6.2,-8.4,-4.1
edmonton,CZVL,calendar_JunNov,okta2,1097,1097,46.3,55.4,-9.1,-12.3,-5.8
edmonton,CZVL,calendar_JunNov,skc,1097,1097,41.3,46.7,-5.3,-8.7,-2.1
edmonton,CZVL,winter,okta2,540,540,34.1,46.2,-12.1,-16.6,-7.8
edmonton,CZVL,winter,skc,540,540,29.3,39.7,-10.4,-14.8,-6.3
edmonton,CZVL,spring,okta2,549,550,43.8,52.1,-8.3,-12.8,-4.1
edmonton,CZVL,spring,skc,549,550,38.5,42.3,-3.8,-8.1,0.3
edmonton,CZVL,summer,okta2,551,552,47.7,54.4,-6.7,-11.5,-1.9
edmonton,CZVL,summer,skc,551,552,42.3,44.9,-2.6,-7.3,2.1
edmonton,CZVL,autumn,okta2,546,545,44.8,56.3,-11.5,-15.9,-7.2
edmonton,CZVL,autumn,skc,546,545,40.4,48.5,-8.1,-12.4,-3.7
winnipeg,CYWG,full,okta2,2191,2189,39.4,26.4,13.0,10.7,15.2
winnipeg,CYWG,full,skc,2191,2189,25.4,5.0,20.4,18.8,22.0
winnipeg,CYWG,calendar_JunNov,okta2,1098,1097,42.9,27.0,16.0,12.9,18.9
winnipeg,CYWG,calendar_JunNov,skc,1098,1097,25.7,3.7,22.0,19.9,24.3
winnipeg,CYWG,winter,okta2,541,540,31.9,24.5,7.5,3.1,11.7
winnipeg,CYWG,winter,skc,541,540,23.1,6.1,17.0,13.7,20.2
winnipeg,CYWG,spring,okta2,552,552,39.7,27.3,12.4,7.9,17.0
winnipeg,CYWG,spring,skc,552,552,26.9,6.4,20.6,17.3,24.2
winnipeg,CYWG,summer,okta2,552,552,48.4,28.4,20.0,15.7,24.2
winnipeg,CYWG,summer,skc,552,552,27.0,3.7,23.2,20.0,26.5
winnipeg,CYWG,autumn,okta2,546,545,37.4,25.5,11.9,7.7,16.4
winnipeg,CYWG,autumn,skc,546,545,24.5,3.6,20.8,18.0,23.9
toronto,CYYZ,full,okta2,2191,2190,35.6,22.1,13.5,11.4,15.6
toronto,CYYZ,full,skc,2191,2190,18.7,3.7,15.0,13.6,16.4
toronto,CYYZ,calendar_JunNov,okta2,1098,1098,44.0,25.8,18.2,15.2,21.3
toronto,CYYZ,calendar_JunNov,skc,1098,1098,22.9,4.1,18.8,16.7,20.9
toronto,CYYZ,winter,okta2,541,540,17.7,14.6,3.1,-0.5,6.6
toronto,CYYZ,winter,skc,541,540,7.6,1.8,5.8,4.0,7.7
toronto,CYYZ,spring,okta2,552,552,36.4,21.9,14.5,10.3,18.7
toronto,CYYZ,spring,skc,552,552,21.2,4.6,16.5,13.7,19.7
toronto,CYYZ,summer,okta2,552,552,49.9,27.0,22.9,18.6,27.2
toronto,CYYZ,summer,skc,552,552,26.2,3.6,22.6,19.6,25.6
toronto,CYYZ,autumn,okta2,546,546,38.1,24.6,13.5,9.2,17.9
toronto,CYYZ,autumn,skc,546,546,19.6,4.6,15.0,12.1,18.1
toronto,CYTZ,full,okta2,2191,2190,42.2,43.7,-1.5,-3.9,0.9
toronto,CYTZ,full,skc,2191,2190,38.5,38.1,0.3,-2.1,2.6
toronto,CYTZ,calendar_JunNov,okta2,1098,1098,51.3,51.8,-0.5,-3.8,2.6
toronto,CYTZ,calendar_JunNov,skc,1098,1098,47.2,44.9,2.3,-1.0,5.5
toronto,CYTZ,winter,okta2,541,540,21.7,24.9,-3.2,-7.2,0.7
toronto,CYTZ,winter,skc,541,540,18.6,21.2,-2.6,-6.4,1.1
toronto,CYTZ,spring,okta2,552,552,44.3,46.1,-1.8,-6.4,3.0
toronto,CYTZ,spring,skc,552,552,40.7,41.3,-0.7,-5.4,4.1
toronto,CYTZ,summer,okta2,552,552,58.4,58.6,-0.2,-4.7,4.3
toronto,CYTZ,summer,skc,552,552,54.0,50.0,4.0,-0.5,8.2
toronto,CYTZ,autumn,okta2,546,546,44.1,44.9,-0.8,-5.5,4.2
toronto,CYTZ,autumn,skc,546,546,40.3,39.7,0.6,-4.0,5.5
ottawa,CYOW,full,okta2,2192,2190,31.4,20.7,10.7,8.7,12.8
ottawa,CYOW,full,skc,2192,2190,15.5,3.4,12.1,10.8,13.4
ottawa,CYOW,calendar_JunNov,okta2,1098,1098,35.9,21.3,14.5,11.6,17.6
ottawa,CYOW,calendar_JunNov,skc,1098,1098,17.6,2.4,15.2,13.3,17.1
ottawa,CYOW,winter,okta2,542,540,20.5,17.8,2.7,-1.0,6.5
ottawa,CYOW,winter,skc,542,540,10.4,4.6,5.9,3.4,8.3
ottawa,CYOW,spring,okta2,552,552,33.1,22.1,11.0,7.0,15.1
ottawa,CYOW,spring,skc,552,552,16.3,4.3,12.0,9.3,14.8
ottawa,CYOW,summer,okta2,552,552,37.7,20.3,17.5,13.4,21.7
ottawa,CYOW,summer,skc,552,552,18.2,1.8,16.4,13.8,19.2
ottawa,CYOW,autumn,okta2,546,546,34.0,22.4,11.6,7.6,16.0
ottawa,CYOW,autumn,skc,546,546,17.0,3.1,13.9,11.4,16.8
montreal,CYUL,full,okta2,2191,2190,34.2,21.7,12.6,10.4,14.6
montreal,CYUL,full,skc,2191,2190,14.3,2.1,12.2,11.0,13.4
montreal,CYUL,calendar_JunNov,okta2,1098,1098,39.6,22.2,17.4,14.4,20.4
montreal,CYUL,calendar_JunNov,skc,1098,1098,15.3,1.4,13.9,12.2,15.7
montreal,CYUL,winter,okta2,541,540,22.2,18.7,3.5,-0.4,7.2
montreal,CYUL,winter,skc,541,540,9.6,2.1,7.6,5.5,9.7
montreal,CYUL,spring,okta2,552,552,35.3,23.5,11.8,7.6,16.2
montreal,CYUL,spring,skc,552,552,16.9,3.6,13.4,10.7,16.2
montreal,CYUL,summer,okta2,552,552,42.0,22.7,19.3,15.1,23.5
montreal,CYUL,summer,skc,552,552,15.9,1.3,14.6,12.3,17.1
montreal,CYUL,autumn,okta2,546,546,37.2,21.7,15.5,11.4,20.0
montreal,CYUL,autumn,skc,546,546,14.7,1.5,13.2,10.8,15.7
montreal,CYHU,full,okta2,2190,2190,38.2,37.9,0.3,-2.1,2.6
montreal,CYHU,full,skc,2190,2190,34.9,32.5,2.4,0.1,4.7
montreal,CYHU,calendar_JunNov,okta2,1097,1098,45.8,41.1,4.6,1.3,8.1
montreal,CYHU,calendar_JunNov,skc,1097,1098,41.8,34.5,7.3,4.1,10.7
montreal,CYHU,winter,okta2,541,540,22.8,29.0,-6.2,-10.3,-2.0
montreal,CYHU,winter,skc,541,540,20.6,25.1,-4.5,-8.5,-0.4
montreal,CYHU,spring,okta2,552,552,38.4,40.4,-2.0,-6.6,2.5
montreal,CYHU,spring,skc,552,552,35.4,35.8,-0.4,-4.8,4.3
montreal,CYHU,summer,okta2,552,552,49.3,42.7,6.6,2.3,11.2
montreal,CYHU,summer,skc,552,552,44.4,35.1,9.4,5.1,13.7
montreal,CYHU,autumn,okta2,545,546,42.2,39.6,2.6,-2.3,7.3
montreal,CYHU,autumn,skc,545,546,39.1,33.9,5.1,0.3,9.8
halifax,CYHZ,full,okta2,2192,2191,27.8,17.3,10.5,8.6,12.5
halifax,CYHZ,full,skc,2192,2191,15.3,1.5,13.8,12.6,15.0
halifax,CYHZ,calendar_JunNov,okta2,1098,1098,31.2,18.7,12.4,9.6,15.2
halifax,CYHZ,calendar_JunNov,skc,1098,1098,17.1,1.6,15.4,13.6,17.2
halifax,CYHZ,winter,okta2,542,541,20.3,14.9,5.4,1.9,8.9
halifax,CYHZ,winter,skc,542,541,10.9,1.2,9.6,7.7,11.6
halifax,CYHZ,spring,okta2,552,552,28.6,16.8,11.8,7.9,15.4
halifax,CYHZ,spring,skc,552,552,16.2,1.7,14.5,11.8,17.2
halifax,CYHZ,summer,okta2,552,552,30.4,17.6,12.8,8.9,16.8
halifax,CYHZ,summer,skc,552,552,16.4,1.8,14.7,12.2,17.2
