site,mask,ground,n_human_cloud,n_mask_clear,false_clear_pct
calgary,goes,bare,1207,98,8.1
calgary,goes,snow,2071,271,13.1
calgary,viirs,bare,895,65,7.3
calgary,viirs,snow,1136,154,13.6
vancouver,goes,bare,2637,325,12.3
vancouver,goes,snow,878,57,6.5
vancouver,viirs,bare,1825,100,5.5
vancouver,viirs,snow,445,9,2.0
edmonton,goes,bare,1331,137,10.3
edmonton,goes,snow,2248,361,16.1
edmonton,viirs,bare,976,134,13.7
edmonton,viirs,snow,1269,263,20.7
winnipeg,goes,bare,1308,195,14.9
winnipeg,goes,snow,1763,374,21.2
winnipeg,viirs,bare,1068,97,9.1
winnipeg,viirs,snow,960,121,12.6
toronto,goes,bare,2003,249,12.4
toronto,goes,snow,1334,96,7.2
toronto,viirs,bare,1403,89,6.3
toronto,viirs,snow,738,35,4.7
ottawa,goes,bare,1726,270,15.6
ottawa,goes,snow,1719,265,15.4
ottawa,viirs,bare,1283,103,8.0
ottawa,viirs,snow,956,99,10.4
montreal,goes,bare,1579,241,15.3
montreal,goes,snow,1742,288,16.5
montreal,viirs,bare,1150,52,4.5
montreal,viirs,snow,915,66,7.2
halifax,goes,bare,2174,533,24.5
halifax,goes,snow,1448,248,17.1
halifax,viirs,bare,1538,161,10.5
halifax,viirs,snow,819,37,4.5
