site,window,snow_thresh_cm,stratum,night_gap_pp,mcnemar_z,n_scenes
calgary,calendar,0.5,moonlit,-1.4,0.98,690
calgary,calendar,0.5,dark,8.5,8.43,1724
calgary,dynamic,0.5,moonlit,1.8,1.03,444
calgary,dynamic,0.5,dark,12.2,9.1,1119
edmonton,calendar,0.5,moonlit,-8.4,5.6,655
edmonton,calendar,0.5,dark,-0.6,0.54,1675
edmonton,dynamic,0.5,moonlit,-6.5,3.54,399
edmonton,dynamic,0.5,dark,0.2,0.08,1167
halifax,calendar,0.5,moonlit,5.7,4.51,1097
halifax,calendar,0.5,dark,5.0,5.68,2227
halifax,dynamic,0.5,moonlit,1.6,0.99,680
halifax,dynamic,0.5,dark,2.8,2.55,1474
montreal,calendar,0.5,moonlit,15.4,9.21,754
montreal,calendar,0.5,dark,14.2,13.49,1735
montreal,dynamic,0.5,moonlit,16.4,8.46,587
montreal,dynamic,0.5,dark,15.0,12.56,1410
ottawa,calendar,0.5,moonlit,4.6,3.04,768
ottawa,calendar,0.5,dark,3.7,4.19,1751
ottawa,dynamic,0.5,moonlit,3.3,2.05,602
ottawa,dynamic,0.5,dark,2.7,2.89,1443
toronto,calendar,0.5,moonlit,10.5,6.77,760
toronto,calendar,0.5,dark,12.0,11.51,1749
toronto,dynamic,0.5,moonlit,10.8,6.81,724
toronto,dynamic,0.5,dark,11.9,10.94,1643
vancouver,calendar,0.5,moonlit,7.7,7.16,1052
vancouver,calendar,0.5,dark,7.7,9.31,2272
vancouver,dynamic,0.5,moonlit,6.8,5.51,777
vancouver,dynamic,0.5,dark,7.9,8.51,1907
winnipeg,calendar,0.5,moonlit,2.5,1.7,691
winnipeg,calendar,0.5,dark,7.1,7.13,1715
winnipeg,dynamic,0.5,moonlit,0.8,0.39,471
winnipeg,dynamic,0.5,dark,6.0,5.26,1298
calgary,calendar,1.0,moonlit,-1.4,0.98,690
calgary,calendar,1.0,dark,8.5,8.43,1724
calgary,dynamic,1.0,moonlit,1.8,1.03,454
calgary,dynamic,1.0,dark,11.2,8.8,1192
edmonton,calendar,1.0,moonlit,-8.4,5.6,655
edmonton,calendar,1.0,dark,-0.6,0.54,1675
edmonton,dynamic,1.0,moonlit,-6.6,3.74,427
edmonton,dynamic,1.0,dark,-0.1,0.0,1208
halifax,calendar,1.0,moonlit,5.7,4.51,1097
halifax,calendar,1.0,dark,5.0,5.68,2227
halifax,dynamic,1.0,moonlit,2.4,1.49,715
halifax,dynamic,1.0,dark,2.5,2.29,1542
montreal,calendar,1.0,moonlit,15.4,9.21,754
montreal,calendar,1.0,dark,14.2,13.49,1735
montreal,dynamic,1.0,moonlit,15.9,8.5,623
montreal,dynamic,1.0,dark,15.2,12.79,1435
ottawa,calendar,1.0,moonlit,4.6,3.04,768
ottawa,calendar,1.0,dark,3.7,4.19,1751
ottawa,dynamic,1.0,moonlit,3.1,2.0,635
ottawa,dynamic,1.0,dark,3.2,3.4,1468
toronto,calendar,1.0,moonlit,10.5,6.77,760
toronto,calendar,1.0,dark,12.0,11.51,1749
toronto,dynamic,1.0,moonlit,10.1,6.58,750
toronto,dynamic,1.0,dark,11.6,10.86,1678
vancouver,calendar,1.0,moonlit,7.7,7.16,1052
vancouver,calendar,1.0,dark,7.7,9.31,2272
vancouver,dynamic,1.0,moonlit,6.9,5.66,794
vancouver,dynamic,1.0,dark,7.7,8.54,1999
winnipeg,calendar,1.0,moonlit,2.5,1.7,691
winnipeg,calendar,1.0,dark,7.1,7.13,1715
winnipeg,dynamic,1.0,moonlit,1.2,0.64,502
winnipeg,dynamic,1.0,dark,5.9,5.29,1338
calgary,calendar,2.0,moonlit,-1.4,0.98,690
calgary,calendar,2.0,dark,8.5,8.43,1724
calgary,dynamic,2.0,moonlit,1.5,0.88,474
calgary,dynamic,2.0,dark,10.8,8.75,1260
edmonton,calendar,2.0,moonlit,-8.4,5.6,655
edmonton,calendar,2.0,dark,-0.6,0.54,1675
edmonton,dynamic,2.0,moonlit,-6.6,4.14,488
edmonton,dynamic,2.0,dark,0.2,0.14,1272
halifax,calendar,2.0,moonlit,5.7,4.51,1097
halifax,calendar,2.0,dark,5.0,5.68,2227
halifax,dynamic,2.0,moonlit,3.5,2.29,779
halifax,dynamic,2.0,dark,3.1,2.94,1631
montreal,calendar,2.0,moonlit,15.4,9.21,754
montreal,calendar,2.0,dark,14.2,13.49,1735
montreal,dynamic,2.0,moonlit,16.2,8.87,656
montreal,dynamic,2.0,dark,15.4,13.04,1459
ottawa,calendar,2.0,moonlit,4.6,3.04,768
ottawa,calendar,2.0,dark,3.7,4.19,1751
ottawa,dynamic,2.0,moonlit,3.2,2.1,655
