site,window,snow_thresh_cm,night_gap_pp,mcnemar_z,n_night,day_gap_pp,n_day,dod_scene,dod_scene_lo,dod_scene_hi,dod_unit,dod_unit_lo,dod_unit_hi,n_night_units,n_day_units,night_gap_unit_pp,night_gap_unit_lo,night_gap_unit_hi,pixel_night_gap_pp,pixel_mcnemar_z,pixel_day_gap_pp,pixel_dod_unit,pixel_dod_unit_lo,pixel_dod_unit_hi
calgary,calendar,1.0,5.6,6.93,2414,-9.3,2516,14.9,12.6,17.2,14.8,11.36,18.19,632,560,6.3,4.08,8.58,-1.0,1.13,-16.9,15.4,11.89,18.83
calgary,dynamic,1.0,8.6,8.5,1646,-12.5,1872,21.1,18.4,23.7,20.4,16.61,24.35,466,418,8.9,6.26,11.51,2.1,2.05,-19.8,20.7,16.87,24.54
edmonton,calendar,1.0,-2.8,3.32,2330,-5.3,2517,2.5,0.2,4.8,3.0,-0.43,6.42,627,529,-2.2,-4.51,0.27,-6.9,8.15,-12.4,7.4,3.68,11.03
edmonton,dynamic,1.0,-1.8,1.81,1635,-7.7,1950,6.0,3.4,8.6,5.9,2.15,9.81,482,411,-1.3,-3.85,1.26,-3.9,3.93,-16.5,13.9,9.87,17.92
halifax,calendar,1.0,5.3,7.28,3324,-8.1,3338,13.3,11.6,15.1,13.6,10.95,16.23,870,848,4.8,2.83,6.82,-1.0,1.38,-10.2,9.6,6.88,12.38
halifax,dynamic,1.0,2.4,2.78,2257,-10.9,2296,13.4,11.2,15.5,13.9,10.74,17.08,596,583,1.9,-0.53,4.3,-3.1,3.49,-14.1,11.7,8.15,15.03
montreal,calendar,1.0,14.5,16.38,2489,-1.9,2538,16.5,14.3,18.7,16.6,13.41,19.89,658,632,14.8,12.33,17.22,6.4,7.61,-4.8,12.1,8.92,15.31
montreal,dynamic,1.0,15.4,15.4,2058,-3.1,2099,18.5,16.1,21.0,18.5,14.87,22.27,553,526,15.5,12.72,18.15,8.1,8.55,-6.4,15.0,11.24,18.74
ottawa,calendar,1.0,3.9,5.23,2519,-8.5,2540,12.5,10.4,14.5,12.9,10.09,15.88,662,650,4.0,2.04,5.94,0.6,0.68,-9.4,11.5,8.35,14.79
ottawa,dynamic,1.0,3.2,3.99,2103,-10.5,2138,13.7,11.5,15.8,14.1,11.06,17.05,560,549,3.3,1.19,5.27,1.6,1.71,-11.3,14.5,10.91,18.09
toronto,calendar,1.0,11.6,13.39,2509,-0.4,2514,12.0,9.9,14.1,12.7,9.64,15.87,672,654,12.4,10.01,14.98,10.3,11.39,-3.9,15.0,11.36,18.28
toronto,dynamic,1.0,11.2,12.74,2428,-1.2,2432,12.3,10.2,14.4,12.8,9.81,15.91,653,634,12.0,9.59,14.52,10.1,10.86,-4.9,15.4,11.82,18.88
vancouver,calendar,1.0,7.7,11.71,3324,-3.2,3324,10.9,9.3,12.5,10.6,8.43,12.91,862,775,7.4,5.57,9.33,3.3,5.04,-5.7,9.2,6.75,11.6
vancouver,dynamic,1.0,7.4,10.25,2793,-3.5,2820,11.0,9.2,12.8,10.8,8.15,13.26,734,656,7.2,5.22,9.27,3.5,4.76,-5.7,9.3,6.65,12.02
winnipeg,calendar,1.0,5.8,7.11,2406,5.3,2513,0.4,-1.8,2.7,1.1,-2.24,4.3,656,562,6.0,3.86,8.21,-0.2,0.15,-10.6,10.3,6.91,13.65
winnipeg,dynamic,1.0,4.6,5.03,1840,2.7,2024,2.0,-0.6,4.5,2.5,-0.97,5.83,524,454,5.0,2.58,7.31,-1.2,1.23,-12.7,11.6,7.92,15.13
