site,window,snow_thresh_cm,night_gap_pp,mcnemar_z,n_night,day_gap_pp,n_day,dod_scene,dod_scene_lo,dod_scene_hi,dod_unit,dod_unit_lo,dod_unit_hi,n_night_units,n_day_units,night_gap_unit_pp,night_gap_unit_lo,night_gap_unit_hi,pixel_night_gap_pp,pixel_mcnemar_z,pixel_day_gap_pp,pixel_dod_unit,pixel_dod_unit_lo,pixel_dod_unit_hi
calgary,calendar,0.5,5.6,6.93,2414,-9.3,2516,14.9,12.6,17.2,14.8,11.36,18.19,632,560,6.3,4.08,8.58,-1.0,1.13,-16.9,15.4,11.89,18.83
calgary,dynamic,0.5,9.2,8.77,1563,-12.8,1788,22.0,19.2,24.7,21.2,17.41,25.37,447,399,9.4,6.55,12.32,2.6,2.44,-19.9,21.2,17.19,25.13
edmonton,calendar,0.5,-2.8,3.32,2330,-5.3,2517,2.5,0.2,4.8,3.0,-0.43,6.42,627,529,-2.2,-4.51,0.27,-6.9,8.15,-12.4,7.4,3.68,11.03
edmonton,dynamic,0.5,-1.5,1.53,1566,-7.7,1905,6.2,3.5,8.8,6.2,2.53,9.87,467,401,-1.0,-3.73,1.57,-3.5,3.51,-16.5,14.3,10.52,18.35
halifax,calendar,0.5,5.3,7.28,3324,-8.1,3338,13.3,11.6,15.1,13.6,10.95,16.23,870,848,4.8,2.83,6.82,-1.0,1.38,-10.2,9.6,6.88,12.38
halifax,dynamic,0.5,2.5,2.74,2154,-10.9,2191,13.3,11.1,15.6,13.8,10.5,16.97,569,557,1.9,-0.66,4.26,-3.0,3.3,-14.7,12.2,8.82,15.51
montreal,calendar,0.5,14.5,16.38,2489,-1.9,2538,16.5,14.3,18.7,16.6,13.41,19.89,658,632,14.8,12.33,17.22,6.4,7.61,-4.8,12.1,8.92,15.31
montreal,dynamic,0.5,15.4,15.2,1997,-3.4,2061,18.8,16.3,21.3,18.9,15.16,22.59,537,516,15.6,12.75,18.48,8.2,8.48,-6.8,15.7,11.87,19.48
ottawa,calendar,0.5,3.9,5.23,2519,-8.5,2540,12.5,10.4,14.5,12.9,10.09,15.88,662,650,4.0,2.04,5.94,0.6,0.68,-9.4,11.5,8.35,14.79
ottawa,dynamic,0.5,2.9,3.6,2045,-10.7,2079,13.6,11.4,15.7,14.1,11.16,17.1,545,533,3.0,0.96,5.08,1.8,1.96,-11.5,15.1,11.54,18.85
toronto,calendar,0.5,11.6,13.39,2509,-0.4,2514,12.0,9.9,14.1,12.7,9.64,15.87,672,654,12.4,10.01,14.98,10.3,11.39,-3.9,15.0,11.36,18.28
toronto,dynamic,0.5,11.6,12.93,2367,-1.3,2379,12.9,10.7,15.0,13.4,10.17,16.54,638,622,12.4,10.06,15.06,10.6,11.19,-5.1,16.1,12.72,19.61
vancouver,calendar,0.5,7.7,11.71,3324,-3.2,3324,10.9,9.3,12.5,10.6,8.43,12.91,862,775,7.4,5.57,9.33,3.3,5.04,-5.7,9.2,6.75,11.6
vancouver,dynamic,0.5,7.6,10.15,2684,-3.4,2739,11.0,9.2,12.9,10.7,8.27,13.42,708,637,7.3,5.16,9.39,3.6,4.81,-5.5,9.2,6.71,12.09
