station,valid,lon,lat,metar
CYAW,2025-01-06 11:00,-63.4994,44.6397,CYAW 061100Z 30015G22KT 15SM BKN017 BKN040 M07/M11 A2937 RMK SC5SC2 DENSITY ALT -1947FT FST OBS SLP949
CYAW,2025-01-06 12:00,-63.4994,44.6397,CYAW 061200Z 30017G23KT 15SM BKN016 BKN040 M07/M10 A2938 RMK SC6SC1 DENSITY ALT -1945FT SLP952
CYAW,2025-01-06 13:00,-63.4994,44.6397,CYAW 061300Z 29021G26KT 15SM BKN019 BKN035 M07/M11 A2939 RMK SC5SC2 DENSITY ALT -1904FT SLP955
CYAW,2025-01-06 14:00,-63.4994,44.6397,CYAW 061400Z 30021G29KT 15SM BKN018 BKN040 M05/M10 A2938 RMK SC5SC1 DENSITY ALT -1681FT SLP951
CYAW,2025-01-06 15:00,-63.4994,44.6397,CYAW 061500Z 30015G23KT 15SM SCT020 SCT040 M04/M09 A2937 RMK SC3SC1 DENSITY ALT -1513FT SLP950
CYAW,2025-01-06 16:00,-63.4994,44.6397,CYAW 061600Z 29016G21KT 15SM FEW020 SCT040 SCT080 M03/M09 A2936 RMK SC2SC1AC1 DENSITY ALT -1358FT SLP945
CYAW,2025-01-06 17:00,-63.4994,44.6397,CYAW 061700Z 30018KT 15SM SCT020 BKN040 BKN080 M02/M09 A2936 RMK SC3SC2AC1 DENSITY ALT -1268FT SLP946
CYAW,2025-01-06 18:00,-63.4994,44.6397,CYAW 061800Z 30017G24KT 15SM SCT020 BKN045 BKN080 M03/M09 A2937 RMK SC4SC2AC1 DENSITY ALT -1331FT SLP949
CYAW,2025-01-06 19:00,-63.4994,44.6397,CYAW 061900Z 31019KT 15SM FEW025 BKN045 BKN240 M03/M08 A2937 RMK SC2SC3CI2 DENSITY ALT -1356FT SLP948
CYAW,2025-01-06 20:00,-63.4994,44.6397,CYAW 062000Z 29015G21KT 15SM SCT040 BKN240 M04/M08 A2937 RMK SC3CI2 DENSITY ALT -1445FT LAST OBS /NEXT 071100 UTC SLP949
CYAW,2025-01-07 11:00,-63.4994,44.6397,CYAW 071100Z 31007KT 15SM SCT015 OVC050 M05/M07 A2922 RMK SC3SC5 DENSITY ALT -1458FT FST OBS SLP896
CYAW,2025-01-07 12:00,-63.4994,44.6397,CYAW 071200Z 32006KT 15SM FEW015 BKN050 M05/M07 A2920 RMK SC2SC5 DENSITY ALT -1382FT SLP890
CYAW,2025-01-07 13:00,-63.4994,44.6397,CYAW 071300Z 33008KT 15SM SCT013 BKN052 M04/M07 A2920 RMK SC3SC4 DENSITY ALT -1330FT SLP890
CYAW,2025-01-07 13:53,-63.4994,44.6397,CYAW 071353Z 33007KT 15SM BKN013 OVC050 M04/M07 A2920 RMK SC5SC3 DENSITY ALT -1289FT SLP889
CYAW,2025-01-07 14:00,-63.4994,44.6397,CYAW 071400Z 34005KT 15SM BKN013 OVC050 M04/M07 A2920 RMK SC6SC2 DENSITY ALT -1277FT SLP889
CYAW,2025-01-07 15:00,-63.4994,44.6397,CYAW 071500Z 31006KT 15SM BKN015 OVC034 M03/M06 A2920 RMK SC5SC3 DENSITY ALT -1135FT SLP889
CYAW,2025-01-07 15:53,-63.4994,44.6397,CYAW 071553Z 30006KT 8SM -SHSN SCT015 OVC032 M03/M05 A2917 RMK SC4SC4 DENSITY ALT -1068FT SLP881
CYAW,2025-01-07 16:00,-63.4994,44.6397,CYAW 071600Z 31006KT 8SM -SHSN BKN012 OVC030 M03/M05 A2917 RMK SC6SC2 DENSITY ALT -1079FT SLP880
CYAW,2025-01-07 17:00,-63.4994,44.6397,CYAW 071700Z 31009KT 8SM -SHSN OVC016 M02/M05 A2916 RMK SC8 DENSITY ALT -1017FT SLP876
CYAW,2025-01-07 17:13,-63.4994,44.6397,CYAW 071713Z 31008KT 8SM -FZDZ OVC017 M02/M05 A2915 RMK SC8 DENSITY ALT -1006FT SLP875
CYAW,2025-01-07 17:39,-63.4994,44.6397,CYAW 071739Z 30011KT 15SM BKN016 BKN032 M02/M05 A2915 RMK SC5SC2 DENSITY ALT -917FT SLP874
CYAW,2025-01-07 18:00,-63.4994,44.6397,CYAW 071800Z 32010KT 15SM OVC020 M01/M05 A2915 RMK SC8 DENSITY ALT -866FT SLP872
CYAW,2025-01-07 19:00,-63.4994,44.6397,CYAW 071900Z 33010KT 15SM SCT030 BKN065 OVC230 M02/M06 A2915 RMK SC3SC2CI3 DENSITY ALT -997FT SLP872
