station,valid,lon,lat,metar
CYEG,2020-01-01 00:00,-113.5797,53.3097,CYEG 010000Z 26005KT 20SM FEW075 BKN110 OVC220 02/M04 A2935 RMK AC2AC5CI1 SLP975
CYEG,2020-01-01 01:00,-113.5797,53.3097,CYEG 010100Z 25005KT 20SM FEW075 SCT120 BKN230 00/M05 A2932 RMK AC2AC2CI3 SLP963
CYEG,2020-01-01 02:00,-113.5797,53.3097,CYEG 010200Z 29002KT 20SM BKN120 OVC230 M00/M05 A2929 RMK AC5CI3 SLP951
CYEG,2020-01-01 03:00,-113.5797,53.3097,CYEG 010300Z 00000KT 20SM BKN170 OVC230 M02/M06 A2928 RMK AC6CI2 VIRGA OVRHD SLP947
CYEG,2020-01-01 04:00,-113.5797,53.3097,CYEG 010400Z 20004KT 20SM FEW100 OVC180 M03/M06 A2926 RMK AC2AC6 VIRGA N QUAD SLP941
CYEG,2020-01-01 05:00,-113.5797,53.3097,CYEG 010500Z 21005KT 20SM OVC100 M03/M05 A2925 RMK AC8 VIRGA ALQDS SLP936
CYEG,2020-01-01 06:00,-113.5797,53.3097,CYEG 010600Z 21004KT 20SM OVC063 M01/M04 A2923 RMK SC8 VIRGA ALQDS SLP927
CYEG,2020-01-01 07:00,-113.5797,53.3097,CYEG 010700Z 22006KT 20SM OVC068 M01/M04 A2921 RMK AC8 VIRGA ALQDS SLP919
CYEG,2020-01-01 08:00,-113.5797,53.3097,CYEG 010800Z 27004KT 20SM OVC069 01/M03 A2921 RMK AC8 VIRGA ALQDS SLP915
CYEG,2020-01-01 08:19,-113.5797,53.3097,CYEG 010819Z 26003KT 20SM -SN BKN048 OVC070 01/M03 A2920 RMK SC5AC3 SLP914
CYEG,2020-01-01 08:29,-113.5797,53.3097,CYEG 010829Z 26004KT 20SM -FZRA -SN OVC029 01/M03 A2921 RMK SC8 SLP915
CYEG,2020-01-01 09:03,-113.5797,53.3097,CYEG 010903Z 28004KT 20SM -SN OVC060 02/M03 A2920 RMK SC8 SLP912
CYEG,2020-01-01 09:50,-113.5797,53.3097,CYEG 010950Z 25003KT 20SM BKN048 OVC060 00/M02 A2920 RMK SC6SC2 VIRGA ALQDS SLP913
CYEG,2020-01-01 10:00,-113.5797,53.3097,CYEG 011000Z 24004KT 20SM BKN048 OVC059 00/M02 A2920 RMK SC6SC2 VIRGA N QUAD SLP913
CYEG,2020-01-01 10:19,-113.5797,53.3097,CYEG 011019Z 26003KT 20SM -SN OVC048 00/M02 A2920 RMK SC8 SLP913
CYEG,2020-01-01 11:00,-113.5797,53.3097,CYEG 011100Z 26003KT 20SM -SN OVC051 01/M01 A2920 RMK SC8 SLP915
CYEG,2020-01-01 12:00,-113.5797,53.3097,CYEG 011200Z 25005KT 20SM -SN OVC064 01/M01 A2920 RMK SC8 SLP916
CYEG,2020-01-01 12:25,-113.5797,53.3097,CYEG 011225Z 28004KT 20SM -FZRA SCT018 OVC045 01/M01 A2920 RMK SC3SC5 SLP916
CYEG,2020-01-01 12:56,-113.5797,53.3097,CYEG 011256Z 28005KT 20SM FEW040 BKN060 OVC110 01/M00 A2920 RMK SC2SC4AC2 VIRGA SE SLP916
CYEG,2020-01-01 13:00,-113.5797,53.3097,CYEG 011300Z 28005KT 20SM FEW040 BKN060 OVC110 01/M01 A2920 RMK SC2SC4AC2 VIRGA SE SLP918
