station,valid,lon,lat,metar
CYHZ,2021-01-01 00:00,-63.5086,44.8808,CYHZ 010000Z 29010G16KT 15SM BKN039 OVC230 01/M01 A2998 RMK SC5CI3 SLP158
CYHZ,2021-01-01 01:00,-63.5086,44.8808,CYHZ 010100Z 30011KT 15SM FEW040 SCT230 01/M02 A3000 RMK SC2CI2 SLP166
CYHZ,2021-01-01 02:00,-63.5086,44.8808,CYHZ 010200Z 29009KT 15SM BKN040 01/M03 A3001 RMK SC7 SLP170
CYHZ,2021-01-01 03:00,-63.5086,44.8808,CYHZ 010300Z 31018KT 15SM OVC034 01/M03 A3003 RMK SC8 SLP175
CYHZ,2021-01-01 04:00,-63.5086,44.8808,CYHZ 010400Z 30011G16KT 15SM BKN046 M00/M05 A3006 RMK SC5 SLP186
CYHZ,2021-01-01 05:00,-63.5086,44.8808,CYHZ 010500Z 31017G22KT 15SM FEW028 BKN038 M01/M05 A3008 RMK SC1SC6 SLP192
CYHZ,2021-01-01 06:00,-63.5086,44.8808,CYHZ 010600Z 33016G21KT 15SM FEW032 M02/M07 A3011 RMK SC2 SLP206
CYHZ,2021-01-01 07:00,-63.5086,44.8808,CYHZ 010700Z 31015G22KT 15SM FEW032 M02/M06 A3016 RMK SC1 SLP220
CYHZ,2021-01-01 08:00,-63.5086,44.8808,CYHZ 010800Z 31012KT 15SM BKN031 M03/M07 A3019 RMK SC5 SLP230
CYHZ,2021-01-01 09:00,-63.5086,44.8808,CYHZ 010900Z 32016G23KT 15SM SCT030 M03/M07 A3020 RMK SC4 SLP236
CYHZ,2021-01-01 10:00,-63.5086,44.8808,CYHZ 011000Z 33014G19KT 15SM FEW030 M04/M08 A3024 RMK SC1 SLP249
CYHZ,2021-01-01 11:00,-63.5086,44.8808,CYHZ 011100Z 32009KT 15SM FEW030 M04/M07 A3028 RMK SC1 SLP262
CYHZ,2021-01-01 12:00,-63.5086,44.8808,CYHZ 011200Z 32012KT 15SM FEW030 M05/M08 A3030 RMK SC1 SLP271
CYHZ,2021-01-01 13:00,-63.5086,44.8808,CYHZ 011300Z 31011G16KT 15SM FEW030 M04/M08 A3034 RMK CU1 SLP282
CYHZ,2021-01-01 14:00,-63.5086,44.8808,CYHZ 011400Z 31013KT 15SM FEW030 M03/M08 A3035 RMK CU1 SLP288
CYHZ,2021-01-01 15:00,-63.5086,44.8808,CYHZ 011500Z 33011G17KT 15SM FEW030 M03/M08 A3034 RMK CU1 SLP284
CYHZ,2021-01-01 16:00,-63.5086,44.8808,CYHZ 011600Z 30008G15KT 15SM SKC M01/M08 A3035 RMK SLP286
CYHZ,2021-01-01 17:00,-63.5086,44.8808,CYHZ 011700Z 30008KT 15SM SKC M00/M09 A3032 RMK SLP276
CYHZ,2021-01-01 18:00,-63.5086,44.8808,CYHZ 011800Z 26007KT 250V320 15SM SKC 00/M08 A3031 RMK SLP273
CYHZ,2021-01-01 19:00,-63.5086,44.8808,CYHZ 011900Z 30007KT 15SM SKC 00/M09 A3033 RMK SLP281
CYHZ,2021-01-01 20:00,-63.5086,44.8808,CYHZ 012000Z 27004KT 15SM FEW032 FEW250 01/M08 A3034 RMK CU1CI1 CU TR CI TR SLP282
CYHZ,2021-01-01 21:00,-63.5086,44.8808,CYHZ 012100Z 27002KT 15SM FEW032 FEW250 M02/M08 A3033 RMK SC1CI1 SC TR CI TR SLP280
CYHZ,2021-01-01 22:00,-63.5086,44.8808,CYHZ 012200Z 32002KT 15SM FEW034 FEW250 M02/M07 A3033 RMK SC1CI1 SC TR CI TR SLP280
CYHZ,2021-01-01 23:00,-63.5086,44.8808,CYHZ 012300Z 27003KT 15SM FEW034 FEW250 M02/M06 A3034 RMK SC1CI1 SC TR CI TR SLP285
CYHZ,2021-01-02 00:00,-63.5086,44.8808,CYHZ 020000Z 32004KT 270V340 15SM SKC M03/M06 A3033 RMK SLP282
CYHZ,2021-01-02 01:00,-63.5086,44.8808,CYHZ 020100Z 26007KT 15SM SKC M03/M06 A3033 RMK SLP281
CYHZ,2021-01-02 02:00,-63.5086,44.8808,CYHZ 020200Z 27005KT 15SM BKN240 M04/M05 A3032 RMK CI6 SLP276
CYHZ,2021-01-02 03:00,-63.5086,44.8808,CYHZ 020300Z 29005KT 15SM SCT250 M04/M05 A3030 RMK CI4 SLP270
CYHZ,2021-01-02 04:00,-63.5086,44.8808,CYHZ 020400Z 30006KT 15SM OVC200 M04/M05 A3028 RMK CS8 HALO SLP264
CYHZ,2021-01-02 05:00,-63.5086,44.8808,CYHZ 020500Z 30004KT 15SM OVC210 M05/M05 A3026 RMK CS8 HALO SLP257
CYHZ,2021-01-02 06:00,-63.5086,44.8808,CYHZ 020600Z 17004KT 15SM OVC190 M05/M05 A3027 RMK CS8 PRESRR SLP259
CYHZ,2021-01-02 07:00,-63.5086,44.8808,CYHZ 020700Z 10002KT 15SM OVC170 M05/M05 A3025 RMK AC8 SLP252
CYHZ,2021-01-02 08:00,-63.5086,44.8808,CYHZ 020800Z 13004KT 15SM OVC150 M05/M05 A3021 RMK AC8 SLP240
CYHZ,2021-01-02 09:00,-63.5086,44.8808,CYHZ 020900Z 13003KT 15SM OVC120 M04/M05 A3020 RMK AC8 SLP236
CYHZ,2021-01-02 10:00,-63.5086,44.8808,CYHZ 021000Z 13007KT 15SM OVC110 M05/M06 A3017 RMK AC8 SLP226
CYHZ,2021-01-02 11:00,-63.5086,44.8808,CYHZ 021100Z 13006KT 15SM OVC017 M04/M06 A3016 RMK SC8 SLP224
CYHZ,2021-01-02 12:00,-63.5086,44.8808,CYHZ 021200Z 14006KT 15SM OVC018 M04/M06 A3015 RMK SC8 SLP221
CYHZ,2021-01-02 13:00,-63.5086,44.8808,CYHZ 021300Z 13007KT 15SM OVC016 M03/M04 A3013 RMK SC8 SLP213
CYHZ,2021-01-02 13:05,-63.5086,44.8808,CYHZ 021305Z 13007KT 20SM -SN OVC016 M03/M04 A3012 RMK SC8 SLP211
CYHZ,2021-01-02 14:00,-63.5086,44.8808,CYHZ 021400Z 11011KT 15SM -SN BKN021 BKN055 OVC082 M02/M03 A3005 RMK SC5SC1AC2 PRESFR SLP184
CYHZ,2021-01-02 14:45,-63.5086,44.8808,CYHZ 021445Z 13010KT 3SM -SN VV014 M01/M02 A3002 RMK SN8 SLP175
CYHZ,2021-01-02 15:00,-63.5086,44.8808,CYHZ 021500Z 12012KT 3SM -SN BKN014 OVC056 M01/M02 A3000 RMK SC5SC3 PRESFR SLP168
CYHZ,2021-01-02 15:41,-63.5086,44.8808,CYHZ 021541Z 11014KT 3SM -SN BKN007 OVC013 M01/M01 A2992 RMK SF6SC2 PRESFR SLP140
CYHZ,2021-01-02 16:00,-63.5086,44.8808,CYHZ 021600Z 11014KT 2SM -SN OVC006 M01/M01 A2988 RMK SF8 PRESFR SLP127
CYHZ,2021-01-02 16:02,-63.5086,44.8808,CYHZ 021602Z 11016KT 1SM R14/P6000FT/N -SN OVC006 M01/M01 A2987 RMK SF8 PRESFR SLP124
CYHZ,2021-01-02 16:29,-63.5086,44.8808,CYHZ 021629Z 11016KT 1 1/4SM -SN OVC003 M01/M01 A2983 RMK SF8 PRESFR SLP109
CYHZ,2021-01-02 16:49,-63.5086,44.8808,CYHZ 021649Z 11013G19KT 1 1/4SM -SN OVC002 M01/M01 A2980 RMK SF8 PRESFR SLP101
CYHZ,2021-01-02 17:00,-63.5086,44.8808,CYHZ 021700Z 12016G21KT 1 1/4SM -SN OVC003 M00/M00 A2979 RMK SF8 CIG RGD PRESFR SLP095
CYHZ,2021-01-02 17:31,-63.5086,44.8808,CYHZ 021731Z 10016G22KT 3/4SM R14/P6000FT/D -SN OVC003 00/00 A2973 RMK SF8 CIG RGD PRESFR SLP076
CYHZ,2021-01-02 18:00,-63.5086,44.8808,CYHZ 021800Z 10016G21KT 3/4SM R14/5500V6000FT/U -SN VV002 00/00 A2967 RMK SN8 /S02/ CIG RGD PRESFR SLP056
CYHZ,2021-01-02 18:21,-63.5086,44.8808,CYHZ 021821Z 10015G22KT 1/2SM R14/3500V4000FT/N SN VV002 00/00 A2966 RMK SN8 CIG RGD SLP051
CYHZ,2021-01-02 18:40,-63.5086,44.8808,CYHZ 021840Z 10015KT 3/4SM R14/4500V6000FT/U -SN VV002 00/00 A2965 RMK SN8 CIG RGD PRESFR SLP047
CYHZ,2021-01-02 19:00,-63.5086,44.8808,CYHZ 021900Z 09015G20KT 3/4SM R14/5000V6000FT/N -SN VV003 00/00 A2961 RMK SN8 /S01/ CIG RGD PRESFR SLP034
