station,valid,lon,lat,metar
CYTZ,2020-01-01 00:00,-79.3950,43.6286,CYTZ 010000Z AUTO 25021G27KT 9SM OVC028 01/M04 A2955 RMK SLP011
CYTZ,2020-01-01 01:00,-79.3950,43.6286,CYTZ 010100Z AUTO 25016G23KT 9SM BKN036 01/M03 A2956 RMK SLP015
CYTZ,2020-01-01 02:00,-79.3950,43.6286,CYTZ 010200Z AUTO 25017G23KT 9SM FEW029 SCT038 01/M04 A2957 RMK SLP017
CYTZ,2020-01-01 03:00,-79.3950,43.6286,CYTZ 010300Z AUTO 25018G24KT 9SM SCT027 00/M04 A2957 RMK SLP019
CYTZ,2020-01-01 03:46,-79.3950,43.6286,CYTZ 010346Z AUTO 25017G23KT 9SM BKN023 00/M04 A2958 RMK SLP022
CYTZ,2020-01-01 04:00,-79.3950,43.6286,CYTZ 010400Z AUTO 26018KT 9SM BKN023 BKN043 00/M03 A2959 RMK SLP023
CYTZ,2020-01-01 04:10,-79.3950,43.6286,CYTZ 010410Z AUTO 27017G23KT 9SM SCT023 BKN043 M00/M04 A2959 RMK SLP023
CYTZ,2020-01-01 05:00,-79.3950,43.6286,CYTZ 010500Z AUTO 25019KT 9SM BKN043 00/M04 A2959 RMK SLP023
CYTZ,2020-01-01 06:00,-79.3950,43.6286,CYTZ 010600Z AUTO 25018G23KT 9SM OVC039 00/M04 A2959 RMK SLP026
CYTZ,2020-01-01 07:00,-79.3950,43.6286,CYTZ 010700Z AUTO 25018KT 9SM OVC037 00/M04 A2960 RMK SLP029
CYTZ,2020-01-01 08:00,-79.3950,43.6286,CYTZ 010800Z AUTO 25017KT 9SM SCT033 OVC042 M00/M04 A2962 RMK SLP033
CYTZ,2020-01-01 08:23,-79.3950,43.6286,CYTZ 010823Z AUTO 25016KT 9SM -SN OVC033 M00/M04 A2962 RMK SLP035
CYTZ,2020-01-01 09:00,-79.3950,43.6286,CYTZ 010900Z AUTO 25015KT 9SM -SN OVC031 M00/M04 A2963 RMK SLP038
CYTZ,2020-01-01 10:00,-79.3950,43.6286,CYTZ 011000Z AUTO 25017KT 9SM -SN BKN055 M00/M04 A2963 RMK SLP037
CYTZ,2020-01-01 10:08,-79.3950,43.6286,CYTZ 011008Z AUTO 25014G21KT 9SM SCT060 M00/M04 A2963 RMK SLP038
CYTZ,2020-01-01 10:52,-79.3950,43.6286,CYTZ 011052Z AUTO 25016G25KT 9SM -SN BKN055 BKN067 M00/M04 A2964 RMK SLP040
CYTZ,2020-01-01 11:00,-79.3950,43.6286,CYTZ 011100Z AUTO 25017KT 9SM -SN BKN048 OVC065 M00/M04 A2964 RMK SLP042
CYTZ,2020-01-01 11:53,-79.3950,43.6286,CYTZ 011153Z AUTO 25016KT 9SM BKN049 OVC120 M00/M04 A2965 RMK SLP045
CYTZ,2020-01-01 12:00,-79.3950,43.6286,CYTZ 011200Z AUTO 25016KT 9SM BKN049 OVC120 M00/M04 A2965 RMK SLP046
CYTZ,2020-01-01 13:00,-79.3950,43.6286,CYTZ 011300Z AUTO 25015KT 9SM OVC040 M00/M05 A2968 RMK SLP055
CYTZ,2020-01-01 14:00,-79.3950,43.6286,CYTZ 011400Z AUTO 25015KT 9SM BKN048 M00/M04 A2970 RMK SLP061
CYTZ,2020-01-01 15:00,-79.3950,43.6286,CYTZ 011500Z AUTO 25017G22KT 9SM FEW038 OVC048 00/M04 A2972 RMK SLP069
CYTZ,2020-01-01 16:06,-79.3950,43.6286,CYTZ 011606Z AUTO 25021G26KT 9SM -RA SCT026 OVC041 00/M04 A2973 RMK SLP073
CYTZ,2020-01-01 16:09,-79.3950,43.6286,CYTZ 011609Z AUTO 25017G26KT 9SM -RA -UP SCT026 OVC041 00/M04 A2973 RMK SLP073
CYTZ,2020-01-01 16:16,-79.3950,43.6286,CYTZ 011616Z AUTO 25018G23KT 9SM -UP SCT026 OVC041 00/M04 A2973 RMK SLP073
CYTZ,2020-01-01 16:19,-79.3950,43.6286,CYTZ 011619Z AUTO 25019KT 9SM SCT026 OVC041 00/M04 A2973 RMK SLP073
CYTZ,2020-01-01 16:25,-79.3950,43.6286,CYTZ 011625Z AUTO 25017G23KT 9SM -RA FEW026 OVC041 00/M04 A2973 RMK SLP074
CYTZ,2020-01-01 16:37,-79.3950,43.6286,CYTZ 011637Z AUTO 24019G24KT 9SM FEW026 OVC043 00/M04 A2973 RMK SLP072
CYTZ,2020-01-01 17:00,-79.3950,43.6286,CYTZ 011700Z AUTO 25020KT 9SM FEW027 OVC043 00/M04 A2972 RMK SLP070
CYTZ,2020-01-01 17:38,-79.3950,43.6286,CYTZ 011738Z AUTO 26020G26KT 9SM -RA OVC035 M00/M04 A2972 RMK SLP070
CYTZ,2020-01-01 17:51,-79.3950,43.6286,CYTZ 011751Z AUTO 25018G23KT 9SM OVC033 00/M05 A2972 RMK SLP068
CYTZ,2020-01-01 18:00,-79.3950,43.6286,CYTZ 011800Z AUTO 25019KT 9SM OVC033 00/M05 A2972 RMK SLP069
CYTZ,2020-01-01 19:00,-79.3950,43.6286,CYTZ 011900Z AUTO 27016G21KT 9SM OVC029 M00/M06 A2972 RMK SLP069
CYTZ,2020-01-01 20:00,-79.3950,43.6286,CYTZ 012000Z AUTO 26016KT 9SM BKN035 M00/M07 A2973 RMK SLP074
CYTZ,2020-01-01 21:00,-79.3950,43.6286,CYTZ 012100Z AUTO 24016KT 9SM FEW031 M00/M06 A2974 RMK SLP077
CYTZ,2020-01-01 22:00,-79.3950,43.6286,CYTZ 012200Z AUTO 25017G23KT 9SM CLR M00/M07 A2978 RMK SLP088
CYTZ,2020-01-01 23:00,-79.3950,43.6286,CYTZ 012300Z AUTO 24011KT 9SM FEW190 M01/M07 A2978 RMK SLP089
CYTZ,2020-01-02 00:00,-79.3950,43.6286,CYTZ 020000Z AUTO 23015KT 9SM FEW190 M00/M05 A2977 RMK SLP087
CYTZ,2020-01-02 01:00,-79.3950,43.6286,CYTZ 020100Z AUTO 24015KT 9SM SCT180 SCT220 M00/M05 A2977 RMK SLP087
CYTZ,2020-01-02 02:00,-79.3950,43.6286,CYTZ 020200Z AUTO 23014KT 9SM OVC180 00/M03 A2976 RMK SLP084
CYTZ,2020-01-02 03:00,-79.3950,43.6286,CYTZ 020300Z AUTO 24008KT 9SM BKN200 BKN220 M00/M03 A2975 RMK SLP080
CYTZ,2020-01-02 04:00,-79.3950,43.6286,CYTZ 020400Z AUTO 21011KT 9SM CLR 01/M02 A2975 RMK SLP079
CYTZ,2020-01-02 05:00,-79.3950,43.6286,CYTZ 020500Z AUTO 25005KT 9SM BKN150 BKN180 01/M02 A2973 RMK SLP072
CYTZ,2020-01-02 05:53,-79.3950,43.6286,CYTZ 020553Z AUTO 23015KT 9SM OVC170 02/M01 A2972 RMK SLP068
CYTZ,2020-01-02 06:00,-79.3950,43.6286,CYTZ 020600Z AUTO 23015KT 9SM OVC180 02/M01 A2972 RMK SLP068
CYTZ,2020-01-02 07:00,-79.3950,43.6286,CYTZ 020700Z AUTO 23012KT 9SM OVC170 02/M00 A2969 RMK SLP059
CYTZ,2020-01-02 08:00,-79.3950,43.6286,CYTZ 020800Z AUTO 25013KT 9SM OVC170 03/M00 A2971 RMK SLP066
CYTZ,2020-01-02 09:00,-79.3950,43.6286,CYTZ 020900Z AUTO 22012KT 9SM BKN160 OVC180 03/00 A2970 RMK SLP062
