station,valid,lon,lat,metar
CYWG,2023-01-01 00:00,-97.2333,49.9167,CYWG 010000Z 14008KT 5SM BR OVC004 M07/M08 A2968 RMK ST8 SLP071
CYWG,2023-01-01 01:00,-97.2333,49.9167,CYWG 010100Z 13010KT 5SM BR OVC004 M08/M08 A2969 RMK ST8 SLP073
CYWG,2023-01-01 02:00,-97.2333,49.9167,CYWG 010200Z 16006KT 5SM BR OVC004 M08/M08 A2970 RMK ST8 SLP077
CYWG,2023-01-01 03:00,-97.2333,49.9167,CYWG 010300Z 19004KT 5SM BR OVC004 M08/M09 A2970 RMK ST8 SLP077
CYWG,2023-01-01 04:00,-97.2333,49.9167,CYWG 010400Z 19004KT 5SM BR OVC004 M08/M09 A2970 RMK ST8 SLP078
CYWG,2023-01-01 05:00,-97.2333,49.9167,CYWG 010500Z 18003KT 5SM BR OVC005 M08/M09 A2971 RMK ST8 SLP081
CYWG,2023-01-01 06:00,-97.2333,49.9167,CYWG 010600Z 19004KT 5SM BR OVC007 M08/M09 A2972 RMK ST8 SLP083
CYWG,2023-01-01 07:00,-97.2333,49.9167,CYWG 010700Z 18004KT 5SM BR OVC007 M08/M09 A2972 RMK ST8 SLP083
CYWG,2023-01-01 08:00,-97.2333,49.9167,CYWG 010800Z 18005KT 5SM BR OVC005 M08/M09 A2972 RMK ST8 SLP084
CYWG,2023-01-01 09:00,-97.2333,49.9167,CYWG 010900Z CCA 21002KT 5SM BR OVC006 M08/M09 A2973 RMK ST8 SLP086
CYWG,2023-01-01 10:00,-97.2333,49.9167,CYWG 011000Z VRB02KT 3SM BR OVC004 M08/M09 A2973 RMK ST8 SLP088
CYWG,2023-01-01 11:00,-97.2333,49.9167,CYWG 011100Z 00000KT 5SM BR OVC005 M08/M09 A2975 RMK ST8 SLP092
CYWG,2023-01-01 12:00,-97.2333,49.9167,CYWG 011200Z 25003KT 4SM BR OVC005 M08/M09 A2976 RMK ST8 SLP097
CYWG,2023-01-01 13:00,-97.2333,49.9167,CYWG 011300Z 28004KT 3SM BR OVC004 M08/M09 A2978 RMK ST8 SLP103
CYWG,2023-01-01 14:00,-97.2333,49.9167,CYWG 011400Z 33006KT 3SM BR OVC004 M08/M09 A2979 RMK ST8 SLP108
CYWG,2023-01-01 15:00,-97.2333,49.9167,CYWG 011500Z 30003KT 1SM R13/P6000FT/N R36/P6000FT/N BR VV004 M08/M09 A2982 RMK FG8 SLP116
CYWG,2023-01-01 15:14,-97.2333,49.9167,CYWG 011514Z 31005KT 2SM BR VV002 M08/M09 A2982 RMK FG8 SLP118
CYWG,2023-01-01 15:51,-97.2333,49.9167,CYWG 011551Z 30004KT 3/4SM R13/P6000FT/N R36/P6000FT/N BR VV003 M08/M09 A2984 RMK FG8 SLP125
CYWG,2023-01-01 16:00,-97.2333,49.9167,CYWG 011600Z 28004KT 3/4SM R13/P6000FT/N R36/P6000FT/N BR VV003 M08/M09 A2984 RMK FG8 SLP126
CYWG,2023-01-01 16:39,-97.2333,49.9167,CYWG 011639Z 27003KT 1SM R13/P6000FT/N R36/P6000FT/N BR VV004 M08/M09 A2986 RMK FG8 SLP131
CYWG,2023-01-01 17:00,-97.2333,49.9167,CYWG 011700Z 28004KT 3/4SM R13/P6000FT/N R36/P6000FT/N BR VV003 M08/M09 A2986 RMK FG8 SLP133
CYWG,2023-01-01 18:00,-97.2333,49.9167,CYWG 011800Z 32007KT 1SM R13/P6000FT/N R36/P6000FT/N BR VV004 M08/M08 A2988 RMK FG8 SLP138
CYWG,2023-01-01 18:18,-97.2333,49.9167,CYWG 011818Z 31008KT 3SM BR VV005 M08/M09 A2988 RMK FG8 SLP138
CYWG,2023-01-01 18:34,-97.2333,49.9167,CYWG 011834Z 32005KT 3SM BR VV004 M08/M09 A2988 RMK FG8 SLP139
CYWG,2023-01-01 19:00,-97.2333,49.9167,CYWG 011900Z 32007KT 5SM BR VV005 M08/M09 A2989 RMK FG8 SLP141
CYWG,2023-01-01 19:13,-97.2333,49.9167,CYWG 011913Z 32007KT 4SM BR VV004 M08/M09 A2989 RMK FG8 SLP141
CYWG,2023-01-01 20:00,-97.2333,49.9167,CYWG 012000Z 33008KT 3SM BR VV004 M08/M09 A2989 RMK FG8 SLP142
CYWG,2023-01-01 21:00,-97.2333,49.9167,CYWG 012100Z 31007KT 4SM BR VV005 M08/M09 A2991 RMK FG8 SLP149
CYWG,2023-01-01 22:00,-97.2333,49.9167,CYWG 012200Z 28006KT 250V310 5SM BR VV005 M08/M08 A2994 RMK FG8 SLP157
CYWG,2023-01-01 23:00,-97.2333,49.9167,CYWG 012300Z 30006KT 4SM BR VV005 M08/M08 A2995 RMK FG8 SLP161
CYWG,2023-01-02 00:00,-97.2333,49.9167,CYWG 020000Z 30005KT 4SM BR VV005 M07/M08 A2997 RMK FG8 SLP168
CYWG,2023-01-02 01:00,-97.2333,49.9167,CYWG 020100Z 31006KT 4SM BR OVC007 M07/M08 A2998 RMK ST8 SLP171
CYWG,2023-01-02 02:00,-97.2333,49.9167,CYWG 020200Z 29006KT 5SM BR OVC006 M08/M08 A2999 RMK ST8 SLP176
