station,valid,lon,lat,metar
CYXX,2022-01-01 00:00,-122.3771,49.0274,CYXX 010000Z 08008KT 30SM SCT170 BKN250 M05/M15 A3013 RMK AS3CS4 SLP208
CYXX,2022-01-01 01:00,-122.3771,49.0274,CYXX 010100Z 07008KT 20SM FEW170 SCT210 BKN240 M05/M15 A3014 RMK AC1CC2CI3 SLP212
CYXX,2022-01-01 02:00,-122.3771,49.0274,CYXX 010200Z 05009KT 15SM FEW190 BKN250 M04/M15 A3015 RMK AC2CI3 SLP216
CYXX,2022-01-01 03:00,-122.3771,49.0274,CYXX 010300Z 06005KT 330V080 15SM FEW180 SCT200 SCT250 M06/M15 A3018 RMK AC1CI2CI1 SLP224
CYXX,2022-01-01 04:00,-122.3771,49.0274,CYXX 010400Z 35005KT 15SM FEW180 FEW210 M10/M14 A3019 RMK AC1CI1 AC TR SLP230
CYXX,2022-01-01 05:00,-122.3771,49.0274,CYXX 010500Z 36007KT 15SM FEW210 M10/M15 A3020 RMK CI1 SLP233
CYXX,2022-01-01 06:00,-122.3771,49.0274,CYXX 010600Z 02004KT 15SM FEW240 M11/M15 A3022 RMK CI1 CI TR SLP238
CYXX,2022-01-01 07:00,-122.3771,49.0274,CYXX 010700Z 02004KT 15SM FEW180 FEW240 M11/M15 A3022 RMK CI1CI1 CI TR CI TR FROIN SLP241
CYXX,2022-01-01 08:00,-122.3771,49.0274,CYXX 010800Z 36005KT 15SM BKN170 M12/M15 A3023 RMK AC7 FROIN SLP244
CYXX,2022-01-01 09:00,-122.3771,49.0274,CYXX 010900Z 01005KT 15SM BKN160 M09/M13 A3024 RMK AC7 FROIN SLP244
CYXX,2022-01-01 10:00,-122.3771,49.0274,CYXX 011000Z 34004KT 15SM SCT110 BKN130 OVC160 M09/M12 A3025 RMK AC3AC3AC2 SLP249
CYXX,2022-01-01 11:00,-122.3771,49.0274,CYXX 011100Z 02004KT 15SM BKN100 OVC160 M08/M12 A3026 RMK AC7AC1 SLP252
CYXX,2022-01-01 12:00,-122.3771,49.0274,CYXX 011200Z 02004KT 15SM FEW075 BKN094 OVC120 M08/M11 A3025 RMK AC2AC5AS1 SLP251
CYXX,2022-01-01 13:00,-122.3771,49.0274,CYXX 011300Z 02004KT 15SM BKN075 OVC100 M08/M12 A3025 RMK AC7AS1 SLP250
CYXX,2022-01-01 14:00,-122.3771,49.0274,CYXX 011400Z 05004KT 15SM OVC075 M08/M11 A3025 RMK AS8 SLP251
CYXX,2022-01-01 15:00,-122.3771,49.0274,CYXX 011500Z 36003KT 15SM FEW045 OVC082 M08/M11 A3026 RMK SC2AS6 SLP253
CYXX,2022-01-01 16:00,-122.3771,49.0274,CYXX 011600Z 04003KT 25SM FEW045 BKN078 OVC220 M07/M11 A3026 RMK SC1AS7CS1 SC TR SLP253
CYXX,2022-01-01 17:00,-122.3771,49.0274,CYXX 011700Z 36004KT 25SM FEW046 BKN069 OVC078 M07/M10 A3026 RMK SC1AS5AC2 SLP252
CYXX,2022-01-01 18:00,-122.3771,49.0274,CYXX 011800Z 04005KT 25SM SCT046 BKN078 OVC200 M06/M11 A3026 RMK SC3AC4CI1 SLP253
CYXX,2022-01-01 19:00,-122.3771,49.0274,CYXX 011900Z 36004KT 25SM FEW046 SCT068 BKN082 OVC200 M06/M10 A3025 RMK SC1AS3AC3CI1 SLP250
CYXX,2022-01-01 20:00,-122.3771,49.0274,CYXX 012000Z 02004KT 25SM SCT071 BKN082 OVC088 M05/M09 A3022 RMK AS4AC3AC1 SLP241
