station,valid,lon,lat,metar
CZVL,2022-01-01 00:00,-113.8544,53.6675,CZVL 010000Z AUTO 17004KT 9SM CLR M29/M32 A2996 RMK SLP240
CZVL,2022-01-01 01:00,-113.8544,53.6675,CZVL 010100Z AUTO 20006KT 9SM BKN170 BKN200 M27/M30 A2994 RMK SLP231
CZVL,2022-01-01 02:00,-113.8544,53.6675,CZVL 010200Z AUTO VRB02KT 9SM SCT150 BKN170 M29/M32 A2992 RMK SLP226
CZVL,2022-01-01 02:56,-113.8544,53.6675,CZVL 010256Z AUTO 19004KT 9SM -SN CLR M26/M29 A2993 RMK SLP214
CZVL,2022-01-01 03:00,-113.8544,53.6675,CZVL 010300Z AUTO 19003KT 9SM -SN CLR M26/M29 A2992 RMK SLP224
CZVL,2022-01-01 03:17,-113.8544,53.6675,CZVL 010317Z AUTO VRB02KT 9SM CLR M30/M33 A2992 RMK SLP219
CZVL,2022-01-01 04:00,-113.8544,53.6675,CZVL 010400Z AUTO 00000KT 9SM CLR M32/M35 A2991 RMK SLP225
CZVL,2022-01-01 05:00,-113.8544,53.6675,CZVL 010500Z AUTO 13002KT 9SM CLR M32/M36 A2988 RMK SLP215
CZVL,2022-01-01 06:00,-113.8544,53.6675,CZVL 010600Z AUTO 00000KT 9SM CLR M33/M37 A2987 RMK SLP210
CZVL,2022-01-01 07:00,-113.8544,53.6675,CZVL 010700Z AUTO VRB02KT 9SM CLR M35/M39 A2986 RMK SLP208
CZVL,2022-01-01 08:00,-113.8544,53.6675,CZVL 010800Z AUTO VRB02KT 9SM CLR M34/M37 A2984 RMK SLP196
CZVL,2022-01-01 09:00,-113.8544,53.6675,CZVL 010900Z AUTO 13004KT 9SM CLR M30/M34 A2981 RMK SLP182
CZVL,2022-01-01 10:00,-113.8544,53.6675,CZVL 011000Z AUTO 16004KT 9SM CLR M29/M32 A2979 RMK SLP176
CZVL,2022-01-01 11:00,-113.8544,53.6675,CZVL 011100Z AUTO 13005KT 9SM SCT240 M30/M33 A2979 RMK SLP175
CZVL,2022-01-01 12:00,-113.8544,53.6675,CZVL 011200Z AUTO 17003KT 9SM BKN210 M29/M32 A2976 RMK SLP161
CZVL,2022-01-01 13:00,-113.8544,53.6675,CZVL 011300Z AUTO 13004KT 9SM BKN200 M30/M33 A2974 RMK SLP155
CZVL,2022-01-01 14:00,-113.8544,53.6675,CZVL 011400Z AUTO 14004KT 9SM FEW076 SCT210 SCT240 M29/M32 A2972 RMK SLP147
CZVL,2022-01-01 15:00,-113.8544,53.6675,CZVL 011500Z AUTO 16004KT 9SM FEW180 SCT240 M29/M32 A2970 RMK SLP139
CZVL,2022-01-01 16:00,-113.8544,53.6675,CZVL 011600Z AUTO 16004KT 9SM FEW150 SCT170 M28/M31 A2969 RMK SLP140
CZVL,2022-01-01 17:00,-113.8544,53.6675,CZVL 011700Z AUTO 16007KT 9SM FEW060 SCT073 M27/M30 A2968 RMK SLP134
CZVL,2022-01-01 18:00,-113.8544,53.6675,CZVL 011800Z AUTO 15005KT 9SM FEW060 BKN071 BKN240 M25/M28 A2965 RMK SLP124
CZVL,2022-01-01 19:00,-113.8544,53.6675,CZVL 011900Z AUTO 16003KT 9SM BKN071 BKN086 M24/M26 A2962 RMK SLP114
CZVL,2022-01-01 20:00,-113.8544,53.6675,CZVL 012000Z AUTO 16006KT 9SM SCT140 M22/M24 A2957 RMK SLP095
CZVL,2022-01-01 21:00,-113.8544,53.6675,CZVL 012100Z AUTO 15004KT 110V170 9SM OVC066 M20/M22 A2956 RMK SLP086
CZVL,2022-01-01 22:00,-113.8544,53.6675,CZVL 012200Z AUTO 14004KT 9SM BKN076 BKN089 M19/M21 A2954 RMK SLP076
CZVL,2022-01-01 23:00,-113.8544,53.6675,CZVL 012300Z AUTO 13004KT 090V160 9SM OVC050 M18/M20 A2953 RMK SLP074
CZVL,2022-01-01 23:14,-113.8544,53.6675,CZVL 012314Z AUTO 16003KT 9SM -SN OVC046 M17/M19 A2952 RMK SLP058
CZVL,2022-01-01 23:59,-113.8544,53.6675,CZVL 012359Z AUTO 14004KT 5SM -SN OVC038 M16/M18 A2951 RMK SLP053
CZVL,2022-01-02 00:00,-113.8544,53.6675,CZVL 020000Z AUTO 15004KT 5SM -SN OVC038 M16/M18 A2951 RMK SLP063
CZVL,2022-01-02 00:17,-113.8544,53.6675,CZVL 020017Z AUTO 15003KT 110V200 2 1/2SM -SN FEW028 OVC036 M16/M18 A2950 RMK VIS VRB 1 3/4-3 SLP048
CZVL,2022-01-02 00:23,-113.8544,53.6675,CZVL 020023Z AUTO 00000KT 3SM -SN FEW028 OVC036 M16/M18 A2950 RMK VIS VRB 1 3/4-3 SLP048
CZVL,2022-01-02 00:33,-113.8544,53.6675,CZVL 020033Z AUTO 14003KT 110V190 2 1/2SM -SN FEW028 OVC036 M15/M17 A2950 RMK SLP046
