date,snow_on_grnd_cm
2020-01-01,3
2020-01-02,3
2020-01-03,3
2020-01-04,2
2020-01-05,3
2020-01-06,3
2020-01-07,3
2020-01-08,4
2020-01-09,7
2020-01-10,7
2020-01-11,7
2020-01-12,7
2020-01-13,6
2020-01-14,6
2020-01-15,6
2020-01-16,6
2020-01-17,7
2020-01-18,7
2020-01-19,5
2020-01-20,5
2020-01-21,5
2020-01-22,5
2020-01-24,4
2020-01-25,4
2020-01-26,3
2020-01-27,3
2020-01-28,2
2020-01-29,2
2020-01-30,2
2020-01-31,1
2020-02-01,0
2020-02-02,6
2020-02-03,5
2020-02-04,5
2020-02-05,5
2020-02-06,4
2020-02-07,3
2020-02-08,4
2020-02-09,4
2020-02-10,4
2020-02-11,4
2020-02-12,4
2020-02-13,4
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,6
2020-02-19,6
2020-02-20,5
2020-02-21,4
2020-02-22,3
2020-02-23,3
2020-02-24,7
2020-02-25,5
2020-02-26,4
2020-02-27,3
2020-02-28,1
2020-02-29,0
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,4
2020-03-09,4
2020-03-10,2
2020-03-11,2
2020-03-12,0
2020-03-13,5
2020-03-14,4
2020-03-15,6
2020-03-16,4
2020-03-17,3
2020-03-18,2
2020-03-19,2
2020-03-20,1
2020-03-21,1
2020-03-22,0
2020-03-23,0
2020-03-24,1
2020-03-25,2
2020-03-29,0
2020-03-30,0
2020-03-31,3
2020-04-01,1
2020-04-02,0
2020-04-03,0
2020-04-04,1
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,3
2020-04-10,1
2020-04-11,3
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,2
2020-04-16,0
2020-05-10,0
2020-10-13,0
2020-10-14,4
2020-10-16,3
2020-10-17,4
2020-10-18,2
2020-10-19,3
2020-10-20,4
2020-10-21,4
2020-10-22,5
2020-10-23,6
2020-10-24,11
2020-10-25,12
2020-10-26,10
2020-10-27,5
2020-10-28,0
2020-11-06,0
2020-11-07,0
2020-11-08,2
2020-11-09,1
2020-11-10,1
2020-11-11,10
2020-11-13,4
2020-11-14,4
2020-11-15,5
2020-11-16,3
2020-11-17,3
2020-11-18,1
2020-11-19,6
2020-11-21,5
2020-11-23,2
2020-11-24,0
