date,snow_on_grnd_cm
2020-01-01,19
2020-01-02,20
2020-01-03,21
2020-01-04,21
2020-01-05,20
2020-01-06,20
2020-01-07,19
2020-01-08,21
2020-01-09,23
2020-01-10,23
2020-01-11,23
2020-01-12,25
2020-01-13,26
2020-01-14,27
2020-01-15,27
2020-01-16,28
2020-01-17,28
2020-01-18,27
2020-01-19,27
2020-01-20,27
2020-01-21,26
2020-01-22,29
2020-01-23,37
2020-01-24,31
2020-01-25,31
2020-01-26,31
2020-01-27,31
2020-01-28,31
2020-01-29,31
2020-01-30,31
2020-01-31,25
2020-02-01,25
2020-02-02,23
2020-02-03,25
2020-02-04,25
2020-02-05,29
2020-02-06,30
2020-02-07,29
2020-02-08,29
2020-02-09,29
2020-02-10,28
2020-02-11,28
2020-02-12,35
2020-02-13,35
2020-02-14,29
2020-02-15,32
2020-02-16,32
2020-02-17,35
2020-02-18,36
2020-02-19,36
2020-02-20,36
2020-02-21,35
2020-02-22,34
2020-02-23,34
2020-02-24,34
2020-02-25,34
2020-02-26,34
2020-02-27,34
2020-02-28,33
2020-02-29,32
2020-03-01,36
2020-03-02,36
2020-03-03,37
2020-03-04,37
2020-03-05,36
2020-03-06,36
2020-03-07,37
2020-03-08,41
2020-03-09,40
2020-03-10,39
2020-03-11,39
2020-03-12,37
2020-03-13,38
2020-03-14,38
2020-03-15,40
2020-03-16,40
2020-03-17,39
2020-03-18,39
2020-03-19,39
2020-03-20,39
2020-03-21,35
2020-03-22,34
2020-03-23,33
2020-03-24,34
2020-03-25,35
2020-03-26,35
2020-03-27,34
2020-03-28,34
2020-03-29,34
2020-03-30,34
2020-03-31,36
2020-04-01,36
2020-04-02,38
2020-04-03,38
2020-04-04,39
2020-04-05,38
2020-04-06,39
2020-04-07,39
2020-04-08,38
2020-04-09,36
2020-04-10,35
2020-04-11,34
2020-04-12,34
2020-04-13,33
2020-04-14,32
2020-04-15,28
2020-04-16,26
2020-04-17,18
2020-04-18,12
2020-04-19,5
2020-04-20,5
2020-04-21,2
2020-10-16,0
2020-10-17,1
2020-10-18,1
2020-10-19,1
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-11-07,0
2020-11-08,16
2020-11-09,16
2020-11-10,19
2020-11-11,20
2020-11-12,20
2020-11-13,20
2020-11-14,20
2020-11-15,20
2020-11-16,20
2020-11-17,20
2020-11-18,20
2020-11-19,26
2020-11-20,29
2020-11-21,27
2020-11-22,27
2020-11-23,26
2020-11-24,26
2020-11-25,28
2020-11-26,28
2020-11-27,26
2020-11-28,25
2020-11-29,25
2020-11-30,25
2020-12-02,22
2020-12-03,21
2020-12-04,18
2020-12-05,17
2020-12-06,17
2020-12-07,17
2020-12-08,17
2020-12-09,14
2020-12-10,14
2020-12-11,14
2020-12-12,14
2020-12-13,14
2020-12-14,14
2020-12-15,16
2020-12-16,16
2020-12-17,16
2020-12-18,17
2020-12-19,17
2020-12-20,16
2020-12-21,16
2020-12-22,16
2020-12-23,17
2020-12-24,17
2020-12-25,17
2020-12-26,17
2020-12-27,17
2020-12-29,15
2020-12-30,15
2020-12-31,15
2021-01-01,15
2021-01-02,14
2021-01-03,14
2021-01-05,17
2021-01-06,17
2021-01-07,17
2021-01-08,17
2021-01-09,17
2021-01-10,17
2021-01-11,17
2021-01-12,17
2021-01-13,17
2021-01-14,18
2021-01-15,18
2021-01-16,18
2021-01-17,18
2021-01-18,18
2021-01-19,18
2021-01-20,18
2021-01-21,18
2021-01-22,18
2021-01-23,18
2021-01-24,19
2021-01-25,19
2021-01-26,19
2021-01-27,19
2021-01-28,24
2021-01-29,24
2021-01-30,21
2021-01-31,21
2021-02-01,21
2021-02-02,21
2021-02-03,22
2021-02-04,22
2021-02-05,24
2021-02-06,27
2021-02-07,27
2021-02-08,27
2021-02-09,27
2021-02-10,27
2021-02-11,27
2021-02-12,27
2021-02-13,27
2021-02-14,27
2021-02-15,27
2021-02-16,21
2021-02-17,21
2021-02-18,21
2021-02-19,21
2021-02-20,21
2021-02-21,21
2021-02-22,20
2021-02-23,19
2021-02-24,19
2021-02-25,19
2021-02-26,20
2021-02-27,20
2021-02-28,21
2021-03-01,23
2021-03-02,21
2021-03-03,19
2021-03-04,15
2021-03-05,15
2021-03-06,15
2021-03-07,14
2021-03-08,14
2021-03-09,14
2021-03-10,14
2021-03-11,10
2021-03-12,10
2021-03-13,9
2021-03-14,3
2021-03-15,3
2021-03-16,3
2021-03-17,2
2021-03-18,2
2021-03-19,2
2021-03-20,2
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,4
2021-03-30,2
2021-03-31,0
2021-04-10,0
2021-04-11,4
2021-04-12,1
2021-04-18,0
2021-04-22,0
2021-05-18,0
2021-05-19,4
2021-11-14,0
2021-11-15,0
2021-11-16,8
2021-11-17,12
2021-11-18,12
2021-11-19,12
2021-11-20,12
2021-11-21,14
2021-11-22,13
2021-11-23,11
2021-11-24,11
2021-11-25,11
2021-11-26,10
2021-11-27,9
2021-11-28,9
2021-11-29,8
2021-11-30,6
2021-12-01,4
2021-12-02,4
2021-12-03,5
2021-12-04,5
2021-12-05,5
2021-12-06,5
2021-12-07,5
2021-12-08,5
2021-12-09,5
2021-12-10,5
2021-12-11,5
2021-12-12,6
2021-12-13,6
2021-12-14,17
2021-12-15,21
2021-12-16,21
2021-12-17,24
2021-12-18,24
2021-12-19,24
2021-12-20,24
2021-12-21,24
2021-12-22,23
2021-12-23,26
2021-12-24,27
2021-12-25,27
2021-12-26,28
2021-12-27,30
2021-12-28,30
2021-12-29,31
2021-12-30,32
2021-12-31,32
2022-01-01,32
2022-01-02,32
2022-01-03,35
2022-01-04,35
2022-01-05,35
2022-01-06,35
2022-01-07,35
2022-01-08,41
2022-01-09,42
2022-01-10,42
2022-01-11,42
2022-01-12,42
2022-01-13,42
2022-01-14,31
2022-01-15,31
2022-01-16,31
2022-01-17,31
2022-01-18,35
2022-01-19,33
2022-01-20,33
2022-01-21,28
2022-01-22,28
2022-01-23,27
2022-01-24,26
2022-01-25,28
2022-01-26,28
2022-01-27,24
2022-01-28,24
2022-01-29,24
2022-01-30,24
2022-01-31,24
2022-02-01,25
2022-02-02,25
2022-02-03,26
2022-02-04,26
2022-02-05,26
2022-02-06,26
2022-02-07,23
2022-02-08,23
2022-02-09,23
2022-02-10,23
2022-02-11,23
2022-02-12,23
2022-02-13,15
2022-02-14,15
2022-02-15,17
2022-02-16,17
2022-02-17,18
2022-02-18,19
2022-02-19,19
2022-02-20,19
2022-02-21,20
2022-02-22,20
2022-02-23,20
2022-02-24,20
2022-02-25,21
2022-02-26,21
2022-02-27,21
2022-02-28,21
2022-03-01,21
2022-03-02,21
2022-03-03,9
2022-03-04,19
2022-03-05,20
2022-03-06,20
2022-03-07,20
2022-03-08,20
2022-03-09,20
2022-03-10,20
2022-03-11,20
2022-03-12,20
2022-03-13,20
2022-03-14,20
2022-03-15,10
2022-03-16,10
2022-03-17,10
2022-03-18,7
2022-03-19,5
2022-03-20,3
2022-03-21,7
2022-03-22,4
2022-03-23,3
2022-03-24,2
2022-03-25,2
2022-03-26,6
2022-03-27,6
2022-03-28,6
2022-03-29,3
2022-03-30,2
2022-03-31,2
2022-04-01,0
2022-04-02,0
2022-04-03,0
2022-04-04,0
2022-04-05,0
2022-04-06,0
2022-04-07,0
2022-04-08,0
2022-04-09,0
2022-04-10,0
2022-04-11,0
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-16,0
2022-04-17,0
2022-04-18,0
2022-04-19,0
2022-04-20,5
2022-04-21,0
2022-04-22,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,0
2022-05-10,0
2022-10-24,0
2022-11-01,0
2022-11-02,6
2022-11-03,12
2022-11-04,10
2022-11-05,10
2022-11-06,12
2022-11-07,13
2022-11-08,18
2022-11-09,18
2022-11-10,16
2022-11-11,16
2022-11-12,16
2022-11-13,15
2022-11-14,16
2022-11-15,16
2022-11-16,15
2022-11-17,15
2022-11-18,15
2022-11-19,15
2022-11-20,15
2022-11-21,15
2022-11-22,15
2022-11-23,15
2022-11-24,15
2022-11-25,15
2022-11-26,15
2022-11-27,14
2022-11-28,14
2022-11-29,14
2022-11-30,15
2022-12-01,20
2022-12-02,20
2022-12-03,20
2022-12-04,19
2022-12-05,19
2022-12-06,19
2022-12-07,19
2022-12-08,19
2022-12-09,19
2022-12-10,19
2022-12-11,21
2022-12-12,21
2022-12-13,21
2022-12-14,21
2022-12-15,21
2022-12-16,21
2022-12-17,23
2022-12-18,24
2022-12-19,27
2022-12-20,27
2022-12-21,27
2022-12-22,27
2022-12-23,27
2022-12-24,27
2022-12-25,28
2022-12-26,28
2022-12-27,28
2022-12-28,31
2022-12-29,31
2022-12-30,31
2022-12-31,31
2023-01-01,31
2023-01-02,31
2023-01-03,31
2023-01-04,31
2023-01-05,29
2023-01-06,29
2023-01-07,29
2023-01-08,29
2023-01-09,29
2023-01-10,29
2023-01-11,29
2023-01-12,29
2023-01-14,29
2023-01-15,29
2023-01-16,29
2023-01-17,29
2023-01-18,29
2023-01-19,27
2023-01-20,27
2023-01-21,27
2023-01-22,27
2023-01-23,24
2023-01-24,24
2023-01-25,24
2023-01-26,23
2023-01-27,23
2023-01-28,24
2023-01-29,24
2023-01-30,24
2023-01-31,25
2023-02-01,26
2023-02-02,27
2023-02-03,27
2023-02-04,27
2023-02-05,27
2023-02-06,20
2023-02-07,18
2023-02-08,19
2023-02-09,19
2023-02-10,19
2023-02-11,19
2023-02-12,19
2023-02-13,19
2023-02-14,19
2023-02-15,19
2023-02-16,17
2023-02-17,17
2023-02-18,17
2023-02-19,18
2023-02-20,21
2023-02-21,21
2023-02-22,22
2023-02-23,22
2023-02-24,22
2023-02-25,22
2023-02-26,22
2023-02-27,22
2023-02-28,22
2023-03-01,23
2023-03-02,23
2023-03-03,23
2023-03-04,23
2023-03-05,23
2023-03-06,23
2023-03-07,24
2023-03-08,24
2023-03-09,24
2023-03-10,24
2023-03-11,24
2023-03-12,24
2023-03-13,24
2023-03-14,24
2023-03-15,24
2023-03-16,22
2023-03-17,20
2023-03-18,20
2023-03-19,20
2023-03-20,19
2023-03-21,19
2023-03-22,19
2023-03-23,18
2023-03-24,16
2023-03-25,14
2023-03-26,10
2023-03-27,10
2023-03-28,10
2023-03-29,8
2023-03-30,8
2023-03-31,8
2023-04-01,7
2023-04-02,5
2023-04-03,5
2023-04-04,5
2023-04-05,1
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-15,0
2023-04-16,0
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-10-23,0
2023-10-24,1
2023-10-25,1
2023-10-26,1
2023-10-27,1
2023-10-28,1
2023-10-29,1
2023-10-30,1
2023-10-31,1
2023-11-01,0
2023-11-03,0
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,0
2023-12-03,2
2023-12-04,2
2023-12-05,2
2023-12-06,1
2023-12-07,4
2023-12-08,4
2023-12-09,4
2023-12-10,4
2023-12-11,4
2023-12-12,4
2023-12-13,3
2023-12-14,2
2023-12-15,2
2023-12-16,2
2023-12-17,2
2023-12-18,2
2023-12-19,2
2023-12-20,2
2023-12-21,2
2023-12-22,2
2023-12-23,2
2023-12-24,2
2023-12-25,1
2023-12-26,1
2023-12-27,1
2023-12-28,1
2023-12-29,1
2023-12-30,1
2023-12-31,1
2024-01-01,1
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,1
2024-01-09,1
2024-01-10,10
2024-01-11,11
2024-01-12,11
2024-01-13,11
2024-01-14,11
2024-01-15,11
2024-01-16,11
2024-01-17,12
2024-01-18,12
2024-01-19,12
2024-01-20,12
2024-01-21,12
2024-01-22,14
2024-01-23,14
2024-01-24,14
2024-01-25,12
2024-01-26,12
2024-01-27,12
2024-01-28,11
2024-01-29,10
2024-01-30,8
2024-01-31,2
2024-02-01,2
2024-02-02,1
2024-02-03,0
2024-02-04,0
2024-02-05,3
2024-02-06,3
2024-02-07,3
2024-02-08,3
2024-02-09,5
2024-02-10,5
2024-02-11,5
2024-02-12,4
2024-02-13,4
2024-02-14,5
2024-02-15,6
2024-02-16,6
2024-02-17,6
2024-02-18,5
2024-02-19,5
2024-02-20,5
2024-02-21,5
2024-02-22,4
2024-02-23,3
2024-02-24,2
2024-02-25,2
2024-02-26,13
2024-02-27,15
2024-02-28,15
2024-02-29,15
2024-03-01,15
2024-03-02,15
2024-03-03,17
2024-03-04,17
2024-03-05,17
2024-03-06,18
2024-03-07,17
2024-03-08,17
2024-03-09,16
2024-03-10,13
2024-03-11,11
2024-03-12,8
2024-03-13,6
2024-03-14,5
2024-03-15,5
2024-03-16,0
2024-03-17,0
2024-03-19,0
2024-03-20,1
2024-03-21,2
2024-03-22,5
2024-03-23,6
2024-03-24,6
2024-03-25,5
2024-03-26,4
2024-03-27,3
2024-03-28,0
2024-03-29,2
2024-03-30,2
2024-03-31,2
2024-04-01,0
2024-04-05,0
2024-04-06,4
2024-04-07,0
2024-04-16,1
2024-04-17,4
2024-04-18,3
2024-04-19,2
2024-04-20,0
2024-04-30,3
2024-05-01,4
2024-10-31,0
2024-11-01,0
2024-11-02,0
2024-11-03,1
2024-11-05,0
2024-11-06,0
2024-11-07,0
2024-11-15,0
2024-11-16,0
2024-11-17,0
2024-11-18,0
2024-11-19,0
2024-11-20,0
2024-11-21,0
2024-11-22,4
2024-11-23,7
2024-11-24,13
2024-11-25,13
2024-11-26,11
2024-11-27,11
2024-11-28,11
2024-11-29,12
2024-11-30,13
2024-12-01,15
2024-12-02,15
2024-12-03,13
2024-12-04,12
2024-12-05,13
2024-12-06,11
2024-12-07,11
2024-12-08,11
2024-12-09,12
2024-12-10,13
2024-12-11,18
2024-12-12,18
2024-12-13,18
2024-12-14,18
2024-12-15,18
2024-12-16,19
2024-12-17,19
2024-12-18,19
2024-12-19,24
2024-12-20,24
2024-12-21,24
2024-12-22,24
2024-12-23,24
2024-12-24,24
2024-12-25,24
2024-12-26,24
2024-12-27,24
2024-12-28,24
2024-12-29,24
2024-12-30,24
2024-12-31,24
2025-01-01,25
2025-01-02,25
2025-01-03,25
2025-01-04,25
2025-01-05,25
2025-01-06,25
2025-01-07,25
2025-01-08,25
2025-01-09,19
2025-01-10,19
2025-01-11,13
2025-01-12,14
2025-01-13,14
2025-01-14,14
2025-01-15,14
2025-01-16,14
2025-01-17,18
2025-01-18,19
2025-01-19,19
2025-01-20,19
2025-01-21,19
2025-01-22,19
2025-01-23,19
2025-01-24,19
2025-01-25,19
2025-01-26,19
2025-01-27,19
2025-01-28,18
2025-01-29,21
2025-01-30,21
2025-01-31,31
2025-02-01,32
2025-02-02,32
2025-02-03,33
2025-02-04,33
2025-02-05,34
2025-02-06,34
2025-02-07,34
2025-02-08,34
2025-02-09,34
2025-02-10,34
2025-02-11,34
2025-02-12,35
2025-02-13,35
2025-02-14,35
2025-02-15,36
2025-02-16,36
2025-02-17,36
2025-02-18,36
2025-02-19,36
2025-02-20,36
2025-02-21,36
2025-02-22,22
2025-02-23,20
2025-02-24,16
2025-02-25,14
2025-02-26,13
2025-02-27,13
2025-02-28,13
2025-03-01,13
2025-03-02,12
2025-03-03,11
2025-03-04,7
2025-03-05,5
2025-03-06,4
2025-03-07,4
2025-03-08,4
2025-03-09,4
