date,snow_on_grnd_cm
2020-01-01,14
2020-01-02,13
2020-01-03,10
2020-01-04,5
2020-01-05,5
2020-01-06,5
2020-01-07,7
2020-01-08,7
2020-01-09,8
2020-01-10,8
2020-01-11,5
2020-01-12,5
2020-01-13,8
2020-01-14,7
2020-01-15,8
2020-01-16,9
2020-01-17,9
2020-01-18,9
2020-01-19,17
2020-01-20,17
2020-01-21,12
2020-01-22,12
2020-01-23,10
2020-01-24,9
2020-01-25,8
2020-01-26,15
2020-01-27,12
2020-01-28,11
2020-01-29,11
2020-01-30,10
2020-01-31,10
2020-02-01,10
2020-02-02,10
2020-02-03,10
2020-02-04,10
2020-02-05,10
2020-02-06,10
2020-02-07,18
2020-02-08,29
2020-02-09,26
2020-02-10,30
2020-02-11,32
2020-02-12,30
2020-02-13,31
2020-02-14,28
2020-02-15,28
2020-02-16,28
2020-02-17,28
2020-02-18,28
2020-02-19,30
2020-02-20,28
2020-02-21,28
2020-02-22,28
2020-02-23,27
2020-02-24,26
2020-02-25,20
2020-02-26,18
2020-02-27,16
2020-02-28,21
2020-02-29,21
2020-03-01,20
2020-03-02,20
2020-03-03,20
2020-03-04,10
2020-03-05,10
2020-03-06,10
2020-03-07,10
2020-03-08,10
2020-03-09,6
2020-03-10,4
2020-03-11,3
2020-03-12,3
2020-03-13,2
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-23,0
2020-03-24,6
2020-04-09,0
2020-04-10,0
2020-11-02,0
2020-11-03,1
2020-11-22,3
2020-11-23,2
2020-11-24,0
2020-11-25,0
2020-11-26,7
2020-11-27,0
2020-12-02,0
2020-12-03,0
2020-12-09,0
2020-12-10,3
2020-12-11,1
2020-12-12,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-19,0
2020-12-20,0
2020-12-21,5
2020-12-22,3
2020-12-23,3
2020-12-24,0
2020-12-25,1
2020-12-26,1
2020-12-27,1
2020-12-28,1
2020-12-29,0
2020-12-30,0
2020-12-31,4
2021-01-01,4
2021-01-02,10
2021-01-03,11
2021-01-04,11
2021-01-05,11
2021-01-06,11
2021-01-07,10
2021-01-08,9
2021-01-09,8
2021-01-10,7
2021-01-11,6
2021-01-12,8
2021-01-13,8
2021-01-14,8
2021-01-15,4
2021-01-16,7
2021-01-17,29
2021-01-18,28
2021-01-19,28
2021-01-20,28
2021-01-21,28
2021-01-22,28
2021-01-23,28
2021-01-24,26
2021-01-25,24
2021-01-26,24
2021-01-27,25
2021-01-28,25
2021-01-29,24
2021-01-30,24
2021-01-31,24
