date,snow_on_grnd_cm
2020-01-01,15
2020-01-02,15
2020-01-03,6
2020-01-04,4
2020-01-05,6
2020-01-06,8
2020-01-07,12
2020-01-08,10
2020-01-09,9
2020-01-10,8
2020-01-11,4
2020-01-12,4
2020-01-13,7
2020-01-14,5
2020-01-15,5
2020-01-16,10
2020-01-17,10
2020-01-18,10
2020-01-19,30
2020-01-20,30
2020-01-21,29
2020-01-22,28
2020-01-23,21
2020-01-24,20
2020-01-25,18
2020-01-26,26
2020-01-27,29
2020-01-28,25
2020-01-29,22
2020-01-30,22
2020-01-31,22
2020-02-01,22
2020-02-02,21
2020-02-03,21
2020-02-04,17
2020-02-05,16
2020-02-06,16
2020-02-07,32
2020-02-08,41
2020-02-09,41
2020-02-10,49
2020-02-11,46
2020-02-12,39
2020-02-13,32
2020-02-14,34
2020-02-15,31
2020-02-16,31
2020-02-17,30
2020-02-18,30
2020-02-19,32
2020-02-20,31
2020-02-21,29
2020-02-22,27
2020-02-23,25
2020-02-24,19
2020-02-25,14
2020-02-26,13
2020-02-27,17
2020-02-28,24
2020-02-29,24
2020-03-01,24
2020-03-02,26
2020-03-03,23
2020-03-04,17
2020-03-05,16
2020-03-06,18
2020-03-07,17
2020-03-08,17
2020-03-09,11
2020-03-10,4
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,1
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,5
2020-03-25,1
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-04-10,0
2020-04-14,2
2020-04-15,0
2020-04-21,1
2020-04-22,2
2020-10-28,0
2020-11-02,0
2020-11-03,3
2020-11-04,3
2020-11-22,3
2020-11-23,7
2020-11-24,7
2020-11-25,10
2020-11-26,12
2020-11-27,7
2020-11-28,4
2020-11-29,2
2020-11-30,0
2020-12-02,0
2020-12-03,1
2020-12-09,2
2020-12-10,2
2020-12-11,1
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,1
2020-12-16,0
2020-12-19,0
2020-12-20,2
2020-12-21,2
2020-12-22,1
2020-12-23,0
2020-12-24,0
2020-12-26,0
2020-12-27,1
2020-12-28,1
2020-12-29,0
2020-12-30,0
2020-12-31,1
2021-01-01,0
2021-01-02,10
2021-01-03,8
2021-01-04,7
2021-01-05,5
2021-01-06,4
2021-01-07,4
2021-01-08,4
2021-01-09,4
2021-01-10,3
2021-01-11,3
2021-01-12,2
2021-01-13,0
2021-01-14,2
2021-01-15,2
2021-01-16,13
2021-01-17,19
2021-01-18,18
2021-01-19,18
2021-01-20,18
2021-01-21,21
2021-01-22,25
2021-01-23,25
2021-01-24,24
2021-01-25,24
2021-01-26,24
2021-01-27,30
2021-01-28,29
2021-01-29,28
2021-01-30,27
2021-01-31,27
2021-02-02,25
2021-02-03,27
2021-02-04,23
2021-02-05,22
2021-02-06,24
2021-02-07,23
2021-02-08,27
2021-02-09,26
2021-02-10,24
2021-02-11,23
2021-02-12,23
2021-02-13,23
2021-02-14,25
2021-02-15,24
2021-02-16,30
2021-02-17,45
2021-02-18,44
2021-02-19,44
2021-02-20,43
2021-02-21,42
2021-02-22,41
2021-02-23,45
2021-02-24,42
2021-02-25,54
2021-02-26,53
2021-02-27,53
2021-02-28,58
2021-03-01,52
2021-03-02,48
