date,snow_on_grnd_cm
2020-01-01,0
2020-01-02,0
2020-01-04,2
2020-01-05,0
2020-01-06,4
2020-01-07,2
2020-01-08,2
2020-01-09,1
2020-01-10,0
2020-01-12,1
2020-01-13,0
2020-01-14,0
2020-01-16,0
2020-01-18,6
2020-01-19,16
2020-01-20,13
2020-01-21,12
2020-01-22,11
2020-01-23,7
2020-01-24,4
2020-01-25,1
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-31,0
2020-02-01,0
2020-02-02,2
2020-02-03,2
2020-02-05,1
2020-02-06,3
2020-02-07,8
2020-02-08,9
2020-02-09,5
2020-02-10,11
2020-02-11,7
2020-02-12,3
2020-02-13,6
2020-02-14,7
2020-02-15,3
2020-02-16,2
2020-02-17,1
2020-02-18,5
2020-02-19,1
2020-02-20,0
2020-02-25,1
2020-02-26,1
2020-02-27,13
2020-02-28,11
2020-02-29,12
2020-03-01,11
2020-03-02,2
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-16,0
2020-03-23,2
2020-04-14,0
2020-05-11,0
2020-11-01,1
2020-11-02,0
2020-11-17,0
2020-11-18,0
2020-11-22,7
2020-11-23,17
2020-11-24,11
2020-11-25,8
2020-11-30,1
2020-12-01,9
2020-12-02,11
2020-12-03,5
2020-12-04,0
2020-12-06,0
2020-12-07,0
2020-12-09,4
2020-12-10,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,2
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-24,1
2020-12-25,11
2020-12-26,16
2020-12-27,15
2020-12-28,5
2020-12-29,2
2020-12-30,4
2020-12-31,1
2021-01-01,1
2021-01-02,7
2021-01-03,4
2021-01-04,2
2021-01-05,2
2021-01-06,2
2021-01-07,2
2021-01-08,2
2021-01-09,2
2021-01-10,2
2021-01-11,2
2021-01-12,1
2021-01-13,1
2021-01-14,1
2021-01-15,0
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-26,6
2021-01-27,8
2021-01-28,6
2021-01-29,5
2021-01-31,5
2021-02-01,4
2021-02-02,3
2021-02-03,2
2021-02-04,2
2021-02-05,2
2021-02-06,1
2021-02-07,2
2021-02-08,1
2021-02-09,2
2021-02-10,1
2021-02-11,1
2021-02-12,1
2021-02-13,2
2021-02-14,6
