date,snow_on_grnd_cm
2020-01-10,1
2020-01-12,2
2020-01-13,3
2020-01-14,3
2020-01-15,6
2020-01-16,14
2020-01-17,12
2020-01-18,11
2020-01-19,2
2020-02-04,3
2020-02-05,2
2021-02-13,0
2021-02-14,4
2021-12-06,1
2021-12-24,1
2021-12-25,0
2021-12-26,2
2021-12-27,1
2021-12-28,1
2021-12-29,3
2021-12-30,16
2022-01-02,7
2022-01-03,2
2022-01-04,0
2022-01-05,0
2022-01-06,12
2022-01-07,2
2022-02-23,0
2022-02-24,2
2022-11-07,1
2022-11-08,2
2022-11-29,2
2022-11-30,4
2022-12-01,3
2022-12-02,2
2022-12-03,1
2022-12-04,0
2022-12-18,2
2022-12-19,3
2022-12-20,18
2022-12-21,22
2022-12-22,18
2022-12-23,16
2022-12-24,7
2022-12-25,2
2023-01-31,2
2023-02-22,0
2023-02-23,0
2023-02-25,0
2023-02-26,9
2023-02-27,2
2023-02-28,1
2023-03-04,0
2023-03-25,0
2023-04-02,0
2024-01-11,2
2024-01-12,1
2024-01-17,7
2024-01-18,23
2024-01-19,21
2024-01-20,7
2024-01-21,6
2024-02-27,0
2024-03-06,0
2025-02-02,4
2025-02-03,1
2025-02-04,7
2025-02-05,3
2025-02-07,2
2025-02-08,0
2025-02-09,2
2025-02-11,1
2025-02-12,1
2025-02-13,1
2025-02-14,1
2025-02-15,1
